family	genus	species	mycorrhizal_type	AOO	EOO	env_B2	geo_B2	ex_dent	env_B2_corrected	geo_B2_corrected	RC1_position	RC2_position	RC3_position	lat_position	lat_range	biome	climate_zone
Acanthaceae	Avicennia	Avicennia marina	AM	74500	8747659.77054423	0.516516361529267	0.532951366849549	0.778089887640449	0.401896157706761	0.422967155573626	0.662152908642625	0.587475696781674	0.256909646196061	-19.9142801093213	25.999053445477	Tropical	Tropical
Anacardiaceae	Buchanania	Buchanania arborescens	AM	44000	1154614.89741355	0.228952498872651	0.216286360030699	0.30577849117175	0.070008749655281	0.179960303762296	1.31033937319129	0.628817951733943	0.118282303768276	-14.1349572700794	7.21026510553293	Tropical	Tropical
Anacardiaceae	Buchanania	Buchanania obovata	AM	98900	811386.340572154	0.230030172835346	0.318320863746073	0.28884430176565	0.0664429046576574	0.251995015456453	1.30624220129397	0.335685581417998	-0.199808995571553	-14.6104967137357	5.05398717233136	Tropical	Tropical
Annonaceae	Huberantha	Huberantha nitidissima	AM	37300	2416927.87349628	0.223869690278621	0.273130676175375	0.361276083467095	0.0808787649108518	0.211921032804155	0.865181077785902	0.718106030435315	0.465005033393394	-17.5783316149892	16.7347717284929	Tropical	Tropical
Annonaceae	Monoon	Monoon australe	AM	29900	1812235.16278726	0.267088669533099	0.201528738151733	0.21970304975923	0.0586801952525569	0.136789892763992	1.39767243283673	0.593928497981087	0.377612985508264	-13.9914495161808	7.35646364739338	Tropical	Tropical
Apocynaceae	Alstonia	Alstonia scholaris	AM	16500	1243102.95618971	0.189857802711552	0.197791062968709	0.345064205457464	0.0655131318425617	0.164906153985421	0.876950247824843	0.618250358004047	0.810010605137137	-17.7525111552317	10.8026440063987	Tropical	Tropical
Apocynaceae	Carissa	Carissa spinarum	AM	108500	4701088.31654039	0.411122833078545	0.633701723096152	0.73354735152488	0.301578065356172	0.592085042286374	0.596778938181916	-0.0447935573795562	0.0235428912633146	-19.730906027778	16.4922083039819	Tropical	Tropical
Apocynaceae	Cerbera	Cerbera manghas	AM	4200	1515138.73997051	0.202906649251336	0.16856054656226	0.0584269662921348	0.0118552199562579	0.045117270552071	0.99985427709022	1.18176144680497	0.825197045690311	-16.0529769131098	15.5383338796136	Tropical	Tropical
Apocynaceae	Wrightia	Wrightia pubescens	AM	28700	1854301.60975969	0.266787310218626	0.205597006927371	0.376364365971108	0.10040923685957	0.18219909265346	1.38386599964452	0.466343152706879	0.200681855739671	-14.2135780132954	7.58019565878437	Tropical	Tropical
Araliaceae	Polyscias	Polyscias australiana	AM	17600	1590333.09726048	0.304306259312722	0.273274463755187	0.307905296950241	0.0936975091375007	0.146224141124974	1.06241234958809	0.761393184306443	0.514147664793697	-16.026238559294	11.3773627848339	Tropical	Tropical
Araucariaceae	Agathis	Agathis robusta	AM	10000	1234202.72063929	0.423035483168723	0.390822522708004	0.281861958266453	0.119237609702131	0.136819859564185	-0.142863833985372	0.887518646892588	0.837728284720862	-26.3465559150274	15.2754002263854	Non-tropical	Non-tropical
Araucariaceae	Araucaria	Araucaria bidwillii	AM	12900	1988769.37255632	0.387420495140159	0.352309853358548	0.227086677367576	0.0879780329854798	0.150674141070726	-0.530575100124879	1.09010445536809	0.931392812957594	-30.1690575893919	19.0050716871759	Non-tropical	Non-tropical
Araucariaceae	Araucaria	Araucaria cunninghamii	AM	38800	1622478.90426526	0.430874803226453	0.431933199956984	0.523154093097913	0.225413916920677	0.303513660983593	-0.228173514088567	0.819934092455834	0.783675482695303	-27.2132365168263	20.1455921209371	Non-tropical	Non-tropical
Arecaceae	Carpentaria	Carpentaria acuminata	AM	24400	694788.006062152	0.25087701515907	0.200065543784989	0.212720706260032	0.0533667358490461	0.150262986980641	1.40242772636627	0.594116365156524	0.042982416228405	-13.6452288943863	3.29401584531004	Tropical	Tropical
Arecaceae	Livistona	Livistona humilis	AM	57600	399111.302383135	0.163429536996763	0.241886696040747	0.19723113964687	0.0322333938338318	0.165462865319229	1.33946832067468	0.553342425021573	-0.147751090592406	-13.841930900419	3.02229348250435	Tropical	Tropical
Arecaceae	Normanbya	Normanbya normanbyi	AM	2000	9732.8448398092	0.115671919756366	0.0608020619760126	0.00810593900481541	0.000937629526115004	0.00652375975338036	0.775699745864822	1.36668610575723	1.5455459197002	-18.0102481093835	2.63557534948008	Tropical	Tropical
Arecaceae	Nypa	Nypa fruticans	AM	2400	614792.185183957	0.257949078857187	0.145492666801851	0.0602327447833066	0.015536981033894	0.0509865539926199	1.34481030049988	1.00396119003205	0.237092696932597	-13.1528475217882	6.6750835922405	Tropical	Tropical
Asparagaceae	Cordyline	Cordyline fruticosa	NM	6000	789487.714408693	0.350602132853701	0.30280719953646	0.165008025682183	0.0578521657421516	0.112934720846677	0.408279777757503	1.04886773164852	1.01374379385058	-22.0302183601865	21.8650000798502	Non-tropical	Tropical
Asphodelaceae	Xanthorrhoea	Xanthorrhoea gracilis	AM	13600	64168.3508452115	0.349160747166632	0.332507898193867	0.0456260032102729	0.015930809371126	0.0389724824569825	-0.991384169389739	1.36483672051068	-0.688403360570475	-34.5734065144385	3.21766729943276	Non-tropical	Non-tropical
Asphodelaceae	Xanthorrhoea	Xanthorrhoea preissii	AM	26400	81335.8599063644	0.205317707056348	0.233346594663302	0.102126805778491	0.0209684415914288	0.0745036791638912	-0.877761281502185	1.29235052948753	-0.394684804106381	-33.4536438333367	3.7714833417364	Non-tropical	Non-tropical
Atherospermataceae	Doryphora	Doryphora aromatica	AM	7600	51668.5039009932	0.111406362964782	0.0649800654837428	0.0639245585874799	0.00712160257636026	0.023568652338975	0.628483637323126	1.23007510640496	1.06502381000627	-18.3322019499191	2.29924889771658	Tropical	Tropical
Bignoniaceae	Deplanchea	Deplanchea tetraphylla	AM	11100	155597.205575436	0.201975479000879	0.156498537186902	0.158747993579454	0.0320632020436387	0.102145273892373	1.24256959484075	0.905397832571828	0.347644414388308	-14.1348358748766	8.2713640996628	Tropical	Tropical
Bixaceae	Cochlospermum	Cochlospermum fraseri	AM	39600	754700.125022012	0.298833351066569	0.279311831333336	0.329574638844302	0.0984878937523968	0.252387662920013	1.3371796339393	0.251772138702724	-0.0964644797062012	-14.7732942763446	5.08946860900454	Tropical	Tropical
Boraginaceae	Ehretia	Ehretia acuminata	AM	40400	807813.268112351	0.353376007997333	0.307591142402391	0.267255216693419	0.0944415815915825	0.174927600011228	-0.707394466816676	1.12794133035241	0.873938625018184	-31.604912202404	18.3448435695151	Non-tropical	Non-tropical
Burseraceae	Canarium	Canarium australianum	AM	94400	3043083.31708937	0.368278032963189	0.327754944091413	0.412720706260032	0.151995969864623	0.269986613874856	1.2481428645416	0.466034349693317	0.0342582253157502	-14.8929937687439	8.08158850696008	Tropical	Tropical
Calophyllaceae	Calophyllum	Calophyllum inophyllum	AM	7500	1594527.99778919	0.192877323943517	0.170788131538624	0.129333868378812	0.0249455704281683	0.0929830610920395	1.13748297834054	0.921118453406933	0.6143845029133	-15.1974891564154	14.2611435503388	Tropical	Tropical
Calophyllaceae	Calophyllum	Calophyllum sil	AM	26300	1538837.19977575	0.271958046614278	0.205207948306132	0.165409309791332	0.0449843927826666	0.11996827107333	1.37394125389522	0.71560103234232	0.33550999682046	-13.7612011510288	6.33973021295799	Tropical	Tropical
Calophyllaceae	Calophyllum	Calophyllum soulattri	AM	13100	255769.167769905	0.261571086620129	0.210035769455098	0.137800963081862	0.0360447476506229	0.111842753732719	1.40378083191464	0.629433554978874	0.0280212605359149	-13.4467291345914	3.03320516413785	Tropical	Tropical
Cannabaceae	Celtis	Celtis philippensis	AM	46100	2331565.42236601	0.344414648594097	0.305483469594534	0.386035313001605	0.13295621667236	0.268060740980897	1.30460001450132	0.343093177554812	-0.0269009662022866	-14.7352787942166	8.7679183256369	Tropical	Tropical
Cannabaceae	Trema	Trema orientale	AM	6800	1112341.88611729	0.31068761272226	0.232033067887085	0.197592295345104	0.0613894785330823	0.0944026813742172	0.843001894466275	0.797286493956121	0.934192811521386	-17.9373024098481	12.3625630372915	Tropical	Tropical
Casuarinaceae	Casuarina	Casuarina cunninghamiana	EcM-AM	99700	7232911.89348327	0.583184423115812	0.659814617505389	0.81368378812199	0.474527710574611	0.545777967517021	-0.194815771831131	0.524157630845295	0.500383709762195	-26.6454346289082	22.0263568283044	Non-tropical	Non-tropical
Casuarinaceae	Casuarina	Casuarina equisetifolia	EcM-AM	18200	6960943.12487628	0.425893402855434	0.391350549736185	0.545144462279294	0.232173430087924	0.303144994126144	0.810332719811039	0.775934789655907	0.107844819802496	-18.372335521407	20.8141025344757	Tropical	Tropical
Celastraceae	Lophopetalum	Lophopetalum arnhemicum	AM	5600	53926.8712256128	0.0641378168910354	0.127838302207645	0.0831861958266453	0.00533538099579119	0.0668168199981839	1.48446008635885	0.554758831125811	0.321785114023407	-13.2421485324387	2.23159568064314	Tropical	Tropical
Celastraceae	Pleurostylia	Pleurostylia opposita	AM	12300	1074465.88672385	0.542889947955941	0.563306968592365	0.348073836276083	0.188965786860748	0.274615618577816	1.00242073296715	0.474678023214625	0.271311182229013	-16.767501371417	15.2128537918843	Tropical	Tropical
Chrysobalanaceae	Maranthes	Maranthes corymbosa	AM	34100	570014.750714188	0.121645541612752	0.171294018364908	0.155056179775281	0.0188618929691682	0.12155794097186	1.39159464351801	0.689437474256856	0.0226217942289195	-13.3037078195383	3.25343695411755	Tropical	Tropical
Combretaceae	Terminalia	Terminalia catappa	AM	4100	956149.08140132	0.29189074605408	0.212271275279254	0.0932985553772071	0.0272329849348209	0.0696626223243068	1.22209257461593	0.990806839328594	0.555444989721926	-14.3982776513123	16.630264135749	Tropical	Tropical
Combretaceae	Terminalia	Terminalia hadleyana	AM	35100	1114244.20866462	0.355370796820486	0.327404710959324	0.279012841091493	0.0991530156618314	0.246767720891766	1.32065283923754	0.340274522229743	-0.153985240871009	-14.560471702388	4.8285192604397	Tropical	Tropical
Combretaceae	Terminalia	Terminalia latipes	AM	17800	547481.428248355	0.32666143663887	0.304926350572963	0.267495987158909	0.0873806234604616	0.222241882756009	1.34469238207073	0.307805460380993	-0.0508769893562264	-14.578906738081	3.91640806717735	Tropical	Tropical
Combretaceae	Terminalia	Terminalia platyphylla	AM	31500	1360015.10544532	0.18523201046483	0.358820513143728	0.348956661316212	0.0646379439406968	0.321517124688439	1.21615593921353	0.135030750714716	-0.304320911373453	-15.4330202126855	5.44946454366684	Tropical	Tropical
Cunoniaceae	Ceratopetalum	Ceratopetalum apetalum	AM	39300	250596.155619018	0.195925655248841	0.181557043696583	0.161717495987159	0.0316846063664859	0.13476686874182	-0.936582701486469	1.46632325130541	0.562025876748597	-34.4221227713931	7.25739792777256	Non-tropical	Non-tropical
Cunoniaceae	Ceratopetalum	Ceratopetalum succirubrum	AM	2900	6858.18244796236	0.249308501864534	0.194322422296793	0.00830658105939005	0.00207090127953285	0.0070700217659699	0.609670339312619	1.59591312204274	1.51481217231434	-18.1657952280886	1.20241117105617	Tropical	Tropical
Cupressaceae	Callitris	Callitris columellaris	AM	195700	7978915.06499289	0.518037891966104	0.830292348404564	0.979373996789727	0.507352840743368	0.820917390418886	-0.129578623760809	-0.0518274853088815	0.17758359456172	-25.6651887366639	24.0291252545794	Non-tropical	Non-tropical
Cupressaceae	Callitris	Callitris endlicheri	AM	91300	4097987.00492286	0.343934269044979	0.475302335379403	0.476645264847512	0.16393464075908	0.335943139296403	-0.907027694860587	0.435052711265528	0.461219442721543	-32.3944944855653	12.3015001811089	Non-tropical	Non-tropical
Cupressaceae	Callitris	Callitris muelleri	AM	6800	37944.3459845428	0.295449006278545	0.225789758148499	0.0985553772070626	0.0291180882592338	0.0837666051195399	-1.25993339721195	1.56173381116806	0.265855419330513	-36.9347877395916	2.5626807201367	Non-tropical	Non-tropical
Cupressaceae	Callitris	Callitris oblonga	AM	3600	866244.323981485	0.253229248222856	0.250697078865273	0.112640449438202	0.0285238563307206	0.0980950798440459	-1.21418928071952	1.49883479780893	0.373718986734343	-36.1775422021652	13.3977865790416	Non-tropical	Non-tropical
Cupressaceae	Callitris	Callitris rhomboidea	AM	35100	3898081.87529953	0.156838808072526	0.285075491642889	0.422632423756019	0.066285165594697	0.245163622896265	-0.872678496385582	0.871564687672876	0.295490744013382	-32.5428323112774	16.8632152139592	Non-tropical	Non-tropical
Dilleniaceae	Dillenia	Dillenia alata	AM	19500	1008008.07826914	0.311055734744734	0.25890356343431	0.208988764044944	0.0650071535533938	0.151498202294677	1.28303177749424	0.758914594326474	0.105591883392619	-13.9907220311708	7.38342670182839	Tropical	Tropical
Ebenaceae	Diospyros	Diospyros laurina	AM	12700	182807.922605955	0.294438631493171	0.265707696026692	0.0955858747993579	0.0281441741660005	0.0619214726764832	1.07366794944596	0.964218866843051	0.634876278557637	-15.3950599139178	8.20102003401407	Tropical	Tropical
Ebenaceae	Diospyros	Diospyros maritima	AM	23600	2906065.1266368	0.260912665529458	0.199343986861442	0.290650080256822	0.0758342871761583	0.152854983865177	1.39463410517349	0.56107007149165	0.254708076963211	-13.9893148600323	5.42017476088905	Tropical	Tropical
