fungal_root_id	family	genus	species	species_verbatim	mycorrhizal_type	replicates	habitat	host_age	host_age_group	am_evaluated	am_criteria	am_structures	ecm_evaluated	ecm_structures	erm_structure	nm_structures	latitude	longitude	comment	source	link
OBS3718400	Proteaceae	Hakea	Hakea arborescens		NM					-			-						uncurated: no time to curate	"10.13140/RG.2.1.2191.7043__Brundrett, M., Abbott, L., Jasper, D., Ashwath, N., Brennan, K., Jabiru, N. T., ... & Bougher, N. (1995). Mycorrhizal Associations in the Alligator Rivers Region. Part II Results of Experiments."	
OBS3680918	Moraceae	Antiaris	Antiaris toxicaria		AM					yes			-						uncurated: no time to curate	"10.13292/j.1000-4890.2010.0023__Liang Changcong, Zhao Suye,Liu Lei, Huang Junsheng.(2010).Arbuscular mycorrhizal fungi associated with common tree species in a tropical rainforest in Bawangling of Hainan Island, China..Chinese Journal of Ecology, 29(2):269-273."	
OBS3680919	Myrtaceae	Syzygium	Syzygium cumini		AM					yes			-						uncurated: no time to curate	"10.13292/j.1000-4890.2010.0023__Liang Changcong, Zhao Suye,Liu Lei, Huang Junsheng.(2010).Arbuscular mycorrhizal fungi associated with common tree species in a tropical rainforest in Bawangling of Hainan Island, China..Chinese Journal of Ecology, 29(2):269-273."	
OBS3690774	Myrtaceae	Eucalyptus	Eucalyptus dealbata		AM					yes			-						uncurated: no time to curate	"10.13300/j.cnki.hnlkxb.1985.04.008__Zhao Bin, Xiong Wei. (1996). Survey of VAM Plants in Wuchang Area.Journal of Huazhong Agricultural College, 4(4):42-49."	
OBS3691318	Moraceae	Ficus	Ficus hispida		AM					yes			-						uncurated: no time to curate	"10.13346/j.mycosystema.2001.03.006__Zhao Zhiwei, Li Xiwu, Wang Guohua, Cheng Lizhong, Sha Tao, Yang Ling, Ren Licheng. (2001). AM fungi in the tropical rain forest of Xishuangbanna.Mycosystema, 20(3):316-323."	
OBS3719116	Meliaceae	Melia	Melia azedarach		AM					yes			-						uncurated: no time to curate	"10.1590/0102-33062016abb0074__Muthukumar, T., Chinnathambi, M., & Priyadharsini, P. (2016). Root fungal associations in some non-orchidaceous vascular lithophytes.��Acta Botanica Brasilica,��30(3), 407-421."	
OBS3719117	Moraceae	Ficus	Ficus microcarpa		NM					-			-						uncurated: no time to curate	"10.1590/0102-33062016abb0074__Muthukumar, T., Chinnathambi, M., & Priyadharsini, P. (2016). Root fungal associations in some non-orchidaceous vascular lithophytes.��Acta Botanica Brasilica,��30(3), 407-421."	
OBS3688339	Combretaceae	Terminalia	Terminalia catappa		AM					yes			-						uncurated: no time to curate	"10.1590/1809-43921980101229��__St John, T. (1980). Uma lista de esp̩cies de plantas tropicais brasileiras naturalmente infectadas com micorriza vesicular-arbuscular.��Anais da Escola Superior de Agricultura Luiz de Queiroz."	
OBS3688248	Fabaceae	Erythrina	Erythrina fusca		AM					yes			-						uncurated: no time to curate	"10.1590/1809-43921980101229��__St John, T. (1980). Uma lista de esp̩cies de plantas tropicais brasileiras naturalmente infectadas com micorriza vesicular-arbuscular.��Anais da Escola Superior de Agricultura Luiz de Queiroz."	
OBS3688256	Moraceae	Ficus	Ficus microcarpa		AM					yes			-						uncurated: no time to curate	"10.1590/1809-43921980101229��__St John, T. (1980). Uma lista de esp̩cies de plantas tropicais brasileiras naturalmente infectadas com micorriza vesicular-arbuscular.��Anais da Escola Superior de Agricultura Luiz de Queiroz."	
OBS3688336	Myrtaceae	Syzygium	Syzygium cumini		AM					yes			-						uncurated: no time to curate	"10.1590/1809-43921980101229��__St John, T. (1980). Uma lista de esp̩cies de plantas tropicais brasileiras naturalmente infectadas com micorriza vesicular-arbuscular.��Anais da Escola Superior de Agricultura Luiz de Queiroz."	
OBS3720167	Malvaceae	Helicteres	Helicteres isora		AM					yes			-						uncurated: no time to curate	"10.18782/2320-7051.2152__Ghosh, P., & Verma, N. K. (2015). Vesicular arbuscular mycorrhizal (VAM) status of some Medicinal plants of Gar-Panchakot Hills in Purulia, West Bengal, India.��Int. J. Pure. App. Biosci., 3 (6), 137-149."	
OBS3667819	Araucariaceae	Agathis	Agathis robusta		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3668237	Araucariaceae	Araucaria	Araucaria bidwillii		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3668238	Araucariaceae	Araucaria	Araucaria bidwillii		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3668240	Araucariaceae	Araucaria	Araucaria cunninghamii		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3668241	Araucariaceae	Araucaria	Araucaria cunninghamii		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3669451	Arecaceae	Cocos	Cocos nucifera		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3668829	Cupressaceae	Callitris	Callitris columellaris		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3668828	Cupressaceae	Callitris	Callitris endlicheri		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3668830	Cupressaceae	Callitris	Callitris oblonga		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3668831	Cupressaceae	Callitris	Callitris rhomboidea		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3667647	Fabaceae	Acacia	Acacia dealbata		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670445	Moraceae	Ficus	Ficus hispida		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670196	Myrtaceae	Corymbia	Corymbia maculata		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670197	Myrtaceae	Corymbia	Corymbia maculata		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670188	Myrtaceae	Eucalyptus	Eucalyptus camaldulensis		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670189	Myrtaceae	Eucalyptus	Eucalyptus cinerea		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670190	Myrtaceae	Eucalyptus	Eucalyptus cordata		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670191	Myrtaceae	Eucalyptus	Eucalyptus erythrocorys		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670198	Myrtaceae	Eucalyptus	Eucalyptus forrestiana		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
