family	genus	scientific_name	native_status	mycorrhizal_type
Fabaceae	Abarema	Abarema cochliocarpos	non-native	AM
Fabaceae	Abarema	Abarema levelii	non-native	AM
Fabaceae	Abarema	Abarema maestrensis	non-native	AM
Salicaceae	Abatia	Abatia mexicana	non-native	AM
Salicaceae	Abatia	Abatia parviflora	non-native	AM
Salicaceae	Abatia	Abatia spicata	non-native	AM
Pinaceae	Abies	Abies alba	non-native	EcM
Pinaceae	Abies	Abies amabilis	non-native	EcM
Pinaceae	Abies	Abies balsamea	non-native	EcM
Pinaceae	Abies	Abies beshanzuensis	non-native	EcM
Pinaceae	Abies	Abies bracteata	non-native	EcM
Pinaceae	Abies	Abies cephalonica	non-native	EcM
Pinaceae	Abies	Abies chensiensis	non-native	EcM
Pinaceae	Abies	Abies cilicica	non-native	EcM
Pinaceae	Abies	Abies concolor	non-native	EcM
Pinaceae	Abies	Abies delavayi	non-native	EcM
Pinaceae	Abies	Abies densa	non-native	EcM
Pinaceae	Abies	Abies durangensis	non-native	EcM
Pinaceae	Abies	Abies fabri	non-native	EcM
Pinaceae	Abies	Abies fanjingshanensis	non-native	EcM
Pinaceae	Abies	Abies fargesii	non-native	EcM
Pinaceae	Abies	Abies firma	non-native	EcM
Pinaceae	Abies	Abies forrestii	non-native	EcM
Pinaceae	Abies	Abies fraseri	non-native	EcM
Pinaceae	Abies	Abies grandis	non-native	EcM
Pinaceae	Abies	Abies guatemalensis	non-native	EcM
Pinaceae	Abies	Abies hickelii	non-native	EcM
Pinaceae	Abies	Abies hidalgensis	non-native	EcM
Pinaceae	Abies	Abies holophylla	non-native	EcM
Pinaceae	Abies	Abies homolepis	non-native	EcM
Pinaceae	Abies	Abies jaliscana	non-native	EcM
Pinaceae	Abies	Abies kawakamii	non-native	EcM
Pinaceae	Abies	Abies koreana	non-native	EcM
Pinaceae	Abies	Abies lasiocarpa	non-native	EcM
Pinaceae	Abies	Abies magnifica	non-native	EcM
Pinaceae	Abies	Abies mariesii	non-native	EcM
Pinaceae	Abies	Abies nebrodensis	non-native	EcM
Pinaceae	Abies	Abies nephrolepis	non-native	EcM
Pinaceae	Abies	Abies nordmanniana	non-native	EcM
Pinaceae	Abies	Abies numidica	non-native	EcM
Pinaceae	Abies	Abies pindrow	non-native	EcM
Pinaceae	Abies	Abies pinsapo	non-native	EcM
Pinaceae	Abies	Abies procera	non-native	EcM
Pinaceae	Abies	Abies recurvata	non-native	EcM
Pinaceae	Abies	Abies religiosa	non-native	EcM
Pinaceae	Abies	Abies sachalinensis	non-native	EcM
Pinaceae	Abies	Abies sibirica	non-native	EcM
Pinaceae	Abies	Abies spectabilis	non-native	EcM
Pinaceae	Abies	Abies squamata	non-native	EcM
Pinaceae	Abies	Abies veitchii	non-native	EcM
Pinaceae	Abies	Abies vejarii	non-native	EcM
Pinaceae	Abies	Abies yuanbaoshanensis	non-native	EcM
Pinaceae	Abies	Abies ziyuanensis	non-native	EcM
Anacardiaceae	Abrahamia	Abrahamia antongilensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia betamponensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia capuronii	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia darainensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia deflexa	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia delphinensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia ditimena	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia ellipticarpa	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia elongata	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia grandidieri	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia humbertii	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia itromoensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia latifolia	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia lecomtei	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia lenticellata	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia littoralis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia lokobensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia longipetiolata	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia louvelii	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia minutifolia	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia nitida	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia oblongifolia	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia patrickii	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia pauciflora	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia phillipsonii	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia revoluta	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia sambiranensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia sericea	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia suarezensis	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia thouvenotii	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia turkii	non-native	uncertain
Anacardiaceae	Abrahamia	Abrahamia viguieri	non-native	uncertain
Menispermaceae	Abuta	Abuta grandifolia	non-native	AM
Menispermaceae	Abuta	Abuta grisebachii	non-native	AM
Menispermaceae	Abuta	Abuta imene	non-native	AM
Menispermaceae	Abuta	Abuta panurensis	non-native	AM
Menispermaceae	Abuta	Abuta rufescens	non-native	AM
Menispermaceae	Abuta	Abuta sandwithiana	non-native	AM
Menispermaceae	Abuta	Abuta velutina	non-native	AM
Malvaceae	Abutilon	Abutilon bastardioides	non-native	AM
Malvaceae	Abutilon	Abutilon giganteum	non-native	AM
Malvaceae	Abutilon	Abutilon grandidentatum	non-native	AM
Malvaceae	Abutilon	Abutilon haenkeanum	non-native	AM
Malvaceae	Abutilon	Abutilon herzogianum	non-native	AM
Malvaceae	Abutilon	Abutilon incanum	non-native	AM
Malvaceae	Abutilon	Abutilon leonardii	non-native	AM
Malvaceae	Abutilon	Abutilon mangarevicum	non-native	AM
Malvaceae	Abutilon	Abutilon sachetianum	non-native	AM
Malvaceae	Abutilon	Abutilon stenopetalum	non-native	AM
Malvaceae	Abutilon	Abutilon tehuantepecense	non-native	AM
Malvaceae	Abutilon	Abutilon thyrsodendron	non-native	AM
Malvaceae	Abutilon	Abutilon turumiquirense	non-native	AM
Malvaceae	Abutilon	Abutilon venosum	non-native	AM
Malvaceae	Abutilon	Abutilon whistleri	non-native	AM
Fabaceae	Acacia	Acacia acradenia	native	EcM-AM
Fabaceae	Acacia	Acacia acrionastes	native	EcM-AM
Fabaceae	Acacia	Acacia acuminata	native	EcM-AM
Fabaceae	Acacia	Acacia adsurgens	native	EcM-AM
Fabaceae	Acacia	Acacia adunca	native	EcM-AM
Fabaceae	Acacia	Acacia aestivalis	native	EcM-AM
Fabaceae	Acacia	Acacia alleniana	native	EcM-AM
Fabaceae	Acacia	Acacia amblyophylla	native	EcM-AM
Fabaceae	Acacia	Acacia ammobia	native	EcM-AM
Fabaceae	Acacia	Acacia ammophila	native	EcM-AM
Fabaceae	Acacia	Acacia ampliata	native	EcM-AM
Fabaceae	Acacia	Acacia ampliceps	native	EcM-AM
Fabaceae	Acacia	Acacia anastema	native	EcM-AM
Fabaceae	Acacia	Acacia anaticeps	native	EcM-AM
Fabaceae	Acacia	Acacia ancistrocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia aneura	native	EcM-AM
Fabaceae	Acacia	Acacia anfractuosa	native	EcM-AM
Fabaceae	Acacia	Acacia angusta	native	EcM-AM
Fabaceae	Acacia	Acacia anthochaera	native	EcM-AM
Fabaceae	Acacia	Acacia aprepta	native	EcM-AM
Fabaceae	Acacia	Acacia aptaneura	native	EcM-AM
Fabaceae	Acacia	Acacia arafurica	native	EcM-AM
Fabaceae	Acacia	Acacia araneosa	native	EcM-AM
Fabaceae	Acacia	Acacia areolata	native	EcM-AM
Fabaceae	Acacia	Acacia argyraea	native	EcM-AM
Fabaceae	Acacia	Acacia argyrodendron	native	EcM-AM
Fabaceae	Acacia	Acacia armillata	native	EcM-AM
Fabaceae	Acacia	Acacia armitii	native	EcM-AM
Fabaceae	Acacia	Acacia assimilis	native	EcM-AM
Fabaceae	Acacia	Acacia atopa	native	EcM-AM
Fabaceae	Acacia	Acacia attenuata	native	EcM-AM
Fabaceae	Acacia	Acacia aulacocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia auriculiformis	native	EcM-AM
Fabaceae	Acacia	Acacia auripila	native	EcM-AM
Fabaceae	Acacia	Acacia ausfeldii	native	EcM-AM
Fabaceae	Acacia	Acacia ayersiana	native	EcM-AM
Fabaceae	Acacia	Acacia baileyana	native	EcM-AM
Fabaceae	Acacia	Acacia bakeri	native	EcM-AM
Fabaceae	Acacia	Acacia bancroftiorum	native	EcM-AM
Fabaceae	Acacia	Acacia barrettiorum	native	EcM-AM
Fabaceae	Acacia	Acacia beauverdiana	native	EcM-AM
Fabaceae	Acacia	Acacia binervata	native	EcM-AM
Fabaceae	Acacia	Acacia binervia	native	EcM-AM
Fabaceae	Acacia	Acacia blakei	native	EcM-AM
Fabaceae	Acacia	Acacia blakelyi	native	EcM-AM
Fabaceae	Acacia	Acacia blayana	native	EcM-AM
Fabaceae	Acacia	Acacia brachystachya	native	EcM-AM
Fabaceae	Acacia	Acacia brassii	native	EcM-AM
Fabaceae	Acacia	Acacia brockii	native	EcM-AM
Fabaceae	Acacia	Acacia bromilowiana	native	EcM-AM
Fabaceae	Acacia	Acacia brumalis	native	EcM-AM
Fabaceae	Acacia	Acacia bulgaensis	native	EcM-AM
Fabaceae	Acacia	Acacia burrowii	native	EcM-AM
Fabaceae	Acacia	Acacia burrowsiana	native	EcM-AM
Fabaceae	Acacia	Acacia caerulescens	native	EcM-AM
Fabaceae	Acacia	Acacia caesaneura	native	EcM-AM
Fabaceae	Acacia	Acacia caesiella	native	EcM-AM
Fabaceae	Acacia	Acacia calamifolia	native	EcM-AM
Fabaceae	Acacia	Acacia calcicola	native	EcM-AM
Fabaceae	Acacia	Acacia cambagei	native	EcM-AM
Fabaceae	Acacia	Acacia cana	native	EcM-AM
Fabaceae	Acacia	Acacia cangaiensis	native	EcM-AM
Fabaceae	Acacia	Acacia cardiophylla	native	EcM-AM
Fabaceae	Acacia	Acacia carneorum	native	EcM-AM
Fabaceae	Acacia	Acacia caroleae	native	EcM-AM
Fabaceae	Acacia	Acacia catenulata	native	EcM-AM
Fabaceae	Acacia	Acacia celastrifolia	native	EcM-AM
Fabaceae	Acacia	Acacia celsa	native	EcM-AM
Fabaceae	Acacia	Acacia chartacea	native	EcM-AM
Fabaceae	Acacia	Acacia cheelii	native	EcM-AM
Fabaceae	Acacia	Acacia chrysotricha	native	EcM-AM
Fabaceae	Acacia	Acacia cincinnata	native	EcM-AM
Fabaceae	Acacia	Acacia citrinoviridis	native	EcM-AM
Fabaceae	Acacia	Acacia clunies-rossiae	native	EcM-AM
Fabaceae	Acacia	Acacia cockertoniana	native	EcM-AM
Fabaceae	Acacia	Acacia cognata	native	EcM-AM
Fabaceae	Acacia	Acacia colei	native	EcM-AM
Fabaceae	Acacia	Acacia colletioides	native	EcM-AM
Fabaceae	Acacia	Acacia complanata	native	EcM-AM
Fabaceae	Acacia	Acacia concurrens	native	EcM-AM
Fabaceae	Acacia	Acacia conferta	native	EcM-AM
Fabaceae	Acacia	Acacia confusa	non-native	EcM-AM
Fabaceae	Acacia	Acacia conniana	native	EcM-AM
Fabaceae	Acacia	Acacia conspersa	native	EcM-AM
Fabaceae	Acacia	Acacia convallium	native	EcM-AM
Fabaceae	Acacia	Acacia coolgardiensis	native	EcM-AM
Fabaceae	Acacia	Acacia coriacea	native	EcM-AM
Fabaceae	Acacia	Acacia courtii	native	EcM-AM
Fabaceae	Acacia	Acacia covenyi	native	EcM-AM
Fabaceae	Acacia	Acacia cowaniana	native	EcM-AM
Fabaceae	Acacia	Acacia cowleana	native	EcM-AM
Fabaceae	Acacia	Acacia craspedocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia crassa	native	EcM-AM
Fabaceae	Acacia	Acacia crassicarpa	native	EcM-AM
Fabaceae	Acacia	Acacia crenulata	native	EcM-AM
Fabaceae	Acacia	Acacia cretacea	native	EcM-AM
Fabaceae	Acacia	Acacia cretata	native	EcM-AM
Fabaceae	Acacia	Acacia crombiei	native	EcM-AM
Fabaceae	Acacia	Acacia curvinervia	native	EcM-AM
Fabaceae	Acacia	Acacia cuspidifolia	native	EcM-AM
Fabaceae	Acacia	Acacia cuthbertsonii	native	EcM-AM
Fabaceae	Acacia	Acacia cyclops	native	EcM-AM
Fabaceae	Acacia	Acacia cyperophylla	native	EcM-AM
Fabaceae	Acacia	Acacia dallachiana	native	EcM-AM
Fabaceae	Acacia	Acacia dangarensis	native	EcM-AM
Fabaceae	Acacia	Acacia daphnifolia	native	EcM-AM
Fabaceae	Acacia	Acacia dawsonii	native	EcM-AM
Fabaceae	Acacia	Acacia dealbata	native	EcM-AM
Fabaceae	Acacia	Acacia deanei	native	EcM-AM
Fabaceae	Acacia	Acacia debilis	native	EcM-AM
Fabaceae	Acacia	Acacia decurrens	native	EcM-AM
Fabaceae	Acacia	Acacia delibrata	native	EcM-AM
Fabaceae	Acacia	Acacia demissa	native	EcM-AM
Fabaceae	Acacia	Acacia dempsteri	native	EcM-AM
Fabaceae	Acacia	Acacia dentifera	native	EcM-AM
Fabaceae	Acacia	Acacia desertorum	native	EcM-AM
Fabaceae	Acacia	Acacia desmondii	native	EcM-AM
Fabaceae	Acacia	Acacia didyma	native	EcM-AM
Fabaceae	Acacia	Acacia dietrichiana	native	EcM-AM
Fabaceae	Acacia	Acacia difficilis	native	EcM-AM
Fabaceae	Acacia	Acacia difformis	native	EcM-AM
Fabaceae	Acacia	Acacia dimidiata	native	EcM-AM
Fabaceae	Acacia	Acacia disparrima	native	EcM-AM
Fabaceae	Acacia	Acacia distans	native	EcM-AM
Fabaceae	Acacia	Acacia dodonaeifolia	native	EcM-AM
Fabaceae	Acacia	Acacia dolichophylla	native	EcM-AM
Fabaceae	Acacia	Acacia donaldsonii	native	EcM-AM
Fabaceae	Acacia	Acacia doratoxylon	native	EcM-AM
Fabaceae	Acacia	Acacia drepanophylla	native	EcM-AM
Fabaceae	Acacia	Acacia dunnii	native	EcM-AM
Fabaceae	Acacia	Acacia duriuscula	native	EcM-AM
Fabaceae	Acacia	Acacia echinuliflora	native	EcM-AM
Fabaceae	Acacia	Acacia effusifolia	native	EcM-AM
Fabaceae	Acacia	Acacia elachantha	native	EcM-AM
Fabaceae	Acacia	Acacia elata	native	EcM-AM
Fabaceae	Acacia	Acacia elongata	native	EcM-AM
Fabaceae	Acacia	Acacia enervia	native	EcM-AM
Fabaceae	Acacia	Acacia ensifolia	native	EcM-AM
Fabaceae	Acacia	Acacia ephedroides	native	EcM-AM
Fabaceae	Acacia	Acacia eremaea	native	EcM-AM
Fabaceae	Acacia	Acacia eriantha	non-native	EcM-AM
Fabaceae	Acacia	Acacia eriopoda	native	EcM-AM
Fabaceae	Acacia	Acacia estrophiolata	native	EcM-AM
Fabaceae	Acacia	Acacia excelsa	native	EcM-AM
Fabaceae	Acacia	Acacia exigua	native	EcM-AM
Fabaceae	Acacia	Acacia exudans	native	EcM-AM
Fabaceae	Acacia	Acacia falcata	native	EcM-AM
Fabaceae	Acacia	Acacia falciformis	native	EcM-AM
Fabaceae	Acacia	Acacia fasciculifera	native	EcM-AM
Fabaceae	Acacia	Acacia fauntleroyi	native	EcM-AM
Fabaceae	Acacia	Acacia filicifolia	native	EcM-AM
Fabaceae	Acacia	Acacia filifolia	native	EcM-AM
Fabaceae	Acacia	Acacia fimbriata	native	EcM-AM
Fabaceae	Acacia	Acacia flavescens	native	EcM-AM
Fabaceae	Acacia	Acacia fleckeri	native	EcM-AM
Fabaceae	Acacia	Acacia flocktoniae	native	EcM-AM
Fabaceae	Acacia	Acacia floribunda	native	EcM-AM
Fabaceae	Acacia	Acacia floydii	native	EcM-AM
Fabaceae	Acacia	Acacia frigescens	native	EcM-AM
Fabaceae	Acacia	Acacia fulva	native	EcM-AM
Fabaceae	Acacia	Acacia fuscaneura	native	EcM-AM
Fabaceae	Acacia	Acacia galeata	native	EcM-AM
Fabaceae	Acacia	Acacia gardneri	native	EcM-AM
Fabaceae	Acacia	Acacia georgensis	native	EcM-AM
Fabaceae	Acacia	Acacia georginae	native	EcM-AM
Fabaceae	Acacia	Acacia gibbosa	native	EcM-AM
Fabaceae	Acacia	Acacia gillii	native	EcM-AM
Fabaceae	Acacia	Acacia glaucocaesia	native	EcM-AM
Fabaceae	Acacia	Acacia glaucocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia gonocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia gonoclada	native	EcM-AM
Fabaceae	Acacia	Acacia grandifolia	native	EcM-AM
Fabaceae	Acacia	Acacia grasbyi	native	EcM-AM
Fabaceae	Acacia	Acacia hakeoides	native	EcM-AM
Fabaceae	Acacia	Acacia hamersleyensis	native	EcM-AM
Fabaceae	Acacia	Acacia hammondii	native	EcM-AM
Fabaceae	Acacia	Acacia harpophylla	native	EcM-AM
Fabaceae	Acacia	Acacia havilandiorum	native	EcM-AM
Fabaceae	Acacia	Acacia hemignosta	native	EcM-AM
Fabaceae	Acacia	Acacia hemsleyi	native	EcM-AM
Fabaceae	Acacia	Acacia heteroclita	native	EcM-AM
Fabaceae	Acacia	Acacia heterophylla	non-native	EcM-AM
Fabaceae	Acacia	Acacia holosericea	native	EcM-AM
Fabaceae	Acacia	Acacia holotricha	native	EcM-AM
Fabaceae	Acacia	Acacia hopperiana	native	EcM-AM
Fabaceae	Acacia	Acacia howittii	native	EcM-AM
Fabaceae	Acacia	Acacia hylonoma	native	EcM-AM
Fabaceae	Acacia	Acacia implexa	native	EcM-AM
Fabaceae	Acacia	Acacia inaequilatera	native	EcM-AM
Fabaceae	Acacia	Acacia inceana	native	EcM-AM
Fabaceae	Acacia	Acacia incurvaneura	native	EcM-AM
Fabaceae	Acacia	Acacia ingramii	native	EcM-AM
Fabaceae	Acacia	Acacia inophloia	native	EcM-AM
Fabaceae	Acacia	Acacia intorta	native	EcM-AM
Fabaceae	Acacia	Acacia irrorata	native	EcM-AM
Fabaceae	Acacia	Acacia islana	native	EcM-AM
Fabaceae	Acacia	Acacia ixodes	native	EcM-AM
Fabaceae	Acacia	Acacia jamesiana	native	EcM-AM
Fabaceae	Acacia	Acacia jasperensis	native	EcM-AM
Fabaceae	Acacia	Acacia jennerae	native	EcM-AM
Fabaceae	Acacia	Acacia jensenii	native	EcM-AM
Fabaceae	Acacia	Acacia jibberdingensis	native	EcM-AM
Fabaceae	Acacia	Acacia jucunda	native	EcM-AM
Fabaceae	Acacia	Acacia julifera	native	EcM-AM
Fabaceae	Acacia	Acacia kelleri	native	EcM-AM
Fabaceae	Acacia	Acacia kempeana	native	EcM-AM
Fabaceae	Acacia	Acacia kenneallyi	native	EcM-AM
Fabaceae	Acacia	Acacia kettlewelliae	native	EcM-AM
Fabaceae	Acacia	Acacia koa	non-native	EcM-AM
Fabaceae	Acacia	Acacia lacertensis	native	EcM-AM
Fabaceae	Acacia	Acacia lamprocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia lasiocalyx	native	EcM-AM
Fabaceae	Acacia	Acacia latescens	native	EcM-AM
Fabaceae	Acacia	Acacia latifolia	native	EcM-AM
Fabaceae	Acacia	Acacia latior	native	EcM-AM
Fabaceae	Acacia	Acacia latzii	native	EcM-AM
Fabaceae	Acacia	Acacia leeuweniana	native	EcM-AM
Fabaceae	Acacia	Acacia legnota	native	EcM-AM
Fabaceae	Acacia	Acacia leiocalyx	native	EcM-AM
Fabaceae	Acacia	Acacia leiophylla	native	EcM-AM
Fabaceae	Acacia	Acacia leprosa	native	EcM-AM
Fabaceae	Acacia	Acacia leptocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia leptoloba	native	EcM-AM
Fabaceae	Acacia	Acacia leptopetala	native	EcM-AM
Fabaceae	Acacia	Acacia leptostachya	native	EcM-AM
Fabaceae	Acacia	Acacia leucoclada	native	EcM-AM
Fabaceae	Acacia	Acacia ligulata	native	EcM-AM
Fabaceae	Acacia	Acacia ligustrina	native	EcM-AM
Fabaceae	Acacia	Acacia linearifolia	native	EcM-AM
Fabaceae	Acacia	Acacia loderi	native	EcM-AM
Fabaceae	Acacia	Acacia longifolia	native	EcM-AM
Fabaceae	Acacia	Acacia longiphyllodinea	native	EcM-AM
Fabaceae	Acacia	Acacia longispicata	native	EcM-AM
Fabaceae	Acacia	Acacia longispinea	native	EcM-AM
Fabaceae	Acacia	Acacia longissima	native	EcM-AM
Fabaceae	Acacia	Acacia loroloba	native	EcM-AM
Fabaceae	Acacia	Acacia lunata	native	EcM-AM
Fabaceae	Acacia	Acacia lysiphloia	native	EcM-AM
Fabaceae	Acacia	Acacia mabellae	native	EcM-AM
Fabaceae	Acacia	Acacia macdonnellensis	native	EcM-AM
Fabaceae	Acacia	Acacia maconochieana	native	EcM-AM
Fabaceae	Acacia	Acacia macradenia	native	EcM-AM
Fabaceae	Acacia	Acacia maidenii	native	EcM-AM
Fabaceae	Acacia	Acacia mangium	native	EcM-AM
Fabaceae	Acacia	Acacia maranoensis	native	EcM-AM
Fabaceae	Acacia	Acacia marramamba	native	EcM-AM
Fabaceae	Acacia	Acacia masliniana	native	EcM-AM
Fabaceae	Acacia	Acacia mathuataensis	non-native	EcM-AM
Fabaceae	Acacia	Acacia matthewii	native	EcM-AM
Fabaceae	Acacia	Acacia mearnsii	native	EcM-AM
Fabaceae	Acacia	Acacia meiosperma	native	EcM-AM
Fabaceae	Acacia	Acacia melanoxylon	native	EcM-AM
Fabaceae	Acacia	Acacia melvillei	native	EcM-AM
Fabaceae	Acacia	Acacia merinthophora	native	EcM-AM
Fabaceae	Acacia	Acacia microbotrya	native	EcM-AM
Fabaceae	Acacia	Acacia microcybe	native	EcM-AM
Fabaceae	Acacia	Acacia microsperma	native	EcM-AM
Fabaceae	Acacia	Acacia midgleyi	native	EcM-AM
Fabaceae	Acacia	Acacia mimula	native	EcM-AM
Fabaceae	Acacia	Acacia minniritchi	native	EcM-AM
Fabaceae	Acacia	Acacia minyura	native	EcM-AM
Fabaceae	Acacia	Acacia mollifolia	native	EcM-AM
Fabaceae	Acacia	Acacia montana	native	EcM-AM
Fabaceae	Acacia	Acacia monticola	native	EcM-AM
Fabaceae	Acacia	Acacia mountfordiae	native	EcM-AM
Fabaceae	Acacia	Acacia mucronata	native	EcM-AM
Fabaceae	Acacia	Acacia muelleriana	native	EcM-AM
Fabaceae	Acacia	Acacia mulganeura	native	EcM-AM
Fabaceae	Acacia	Acacia multisiliqua	native	EcM-AM
Fabaceae	Acacia	Acacia multistipulosa	native	EcM-AM
Fabaceae	Acacia	Acacia murrayana	native	EcM-AM
Fabaceae	Acacia	Acacia nanodealbata	native	EcM-AM
Fabaceae	Acacia	Acacia neriifolia	native	EcM-AM
Fabaceae	Acacia	Acacia neurocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia neurophylla	native	EcM-AM
Fabaceae	Acacia	Acacia nyssophylla	native	EcM-AM
Fabaceae	Acacia	Acacia obliquinervia	native	EcM-AM
Fabaceae	Acacia	Acacia obtusifolia	native	EcM-AM
Fabaceae	Acacia	Acacia oldfieldii	native	EcM-AM
Fabaceae	Acacia	Acacia olgana	native	EcM-AM
Fabaceae	Acacia	Acacia olsenii	native	EcM-AM
Fabaceae	Acacia	Acacia omalophylla	native	EcM-AM
Fabaceae	Acacia	Acacia ommatosperma	native	EcM-AM
Fabaceae	Acacia	Acacia oraria	native	EcM-AM
Fabaceae	Acacia	Acacia orites	native	EcM-AM
Fabaceae	Acacia	Acacia orthocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia oshanesii	native	EcM-AM
Fabaceae	Acacia	Acacia oswaldii	native	EcM-AM
Fabaceae	Acacia	Acacia oxycedrus	native	EcM-AM
Fabaceae	Acacia	Acacia pachyacra	native	EcM-AM
Fabaceae	Acacia	Acacia pachycarpa	native	EcM-AM
Fabaceae	Acacia	Acacia pachyceras	non-native	EcM-AM
Fabaceae	Acacia	Acacia palustris	native	EcM-AM
Fabaceae	Acacia	Acacia papyrocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia paradoxa	native	EcM-AM
Fabaceae	Acacia	Acacia paraneura	native	EcM-AM
Fabaceae	Acacia	Acacia parramattensis	native	EcM-AM
Fabaceae	Acacia	Acacia parvipinnula	native	EcM-AM
Fabaceae	Acacia	Acacia pataczekii	native	EcM-AM
Fabaceae	Acacia	Acacia pedleyi	native	EcM-AM
Fabaceae	Acacia	Acacia pellita	native	EcM-AM
Fabaceae	Acacia	Acacia pendula	native	EcM-AM
Fabaceae	Acacia	Acacia penninervis	native	EcM-AM
Fabaceae	Acacia	Acacia pentadenia	native	EcM-AM
Fabaceae	Acacia	Acacia petraea	native	EcM-AM
Fabaceae	Acacia	Acacia peuce	native	EcM-AM
Fabaceae	Acacia	Acacia phlebophylla	native	EcM-AM
Fabaceae	Acacia	Acacia pickardii	native	EcM-AM
Fabaceae	Acacia	Acacia platycarpa	native	EcM-AM
Fabaceae	Acacia	Acacia plectocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia podalyriifolia	native	EcM-AM
Fabaceae	Acacia	Acacia polifolia	native	EcM-AM
Fabaceae	Acacia	Acacia polyadenia	native	EcM-AM
Fabaceae	Acacia	Acacia polybotrya	native	EcM-AM
Fabaceae	Acacia	Acacia polystachya	native	EcM-AM
Fabaceae	Acacia	Acacia praelongata	native	EcM-AM
Fabaceae	Acacia	Acacia prainii	native	EcM-AM
Fabaceae	Acacia	Acacia pravissima	native	EcM-AM
Fabaceae	Acacia	Acacia proiantha	native	EcM-AM
Fabaceae	Acacia	Acacia prominens	native	EcM-AM
Fabaceae	Acacia	Acacia pruinocarpa	native	EcM-AM
Fabaceae	Acacia	Acacia pteraneura	native	EcM-AM
Fabaceae	Acacia	Acacia pubescens	native	EcM-AM
Fabaceae	Acacia	Acacia pubicosta	native	EcM-AM
Fabaceae	Acacia	Acacia pubifolia	native	EcM-AM
Fabaceae	Acacia	Acacia pubirhachis	native	EcM-AM
Fabaceae	Acacia	Acacia pulchella	native	EcM-AM
Fabaceae	Acacia	Acacia pustula	native	EcM-AM
Fabaceae	Acacia	Acacia pycnantha	native	EcM-AM
Fabaceae	Acacia	Acacia pycnostachya	native	EcM-AM
Fabaceae	Acacia	Acacia pyrifolia	native	EcM-AM
Fabaceae	Acacia	Acacia quadrimarginea	native	EcM-AM
Fabaceae	Acacia	Acacia quiterajoensis	non-native	EcM-AM
Fabaceae	Acacia	Acacia racospermoides	native	EcM-AM
Fabaceae	Acacia	Acacia ramulosa	native	EcM-AM
Fabaceae	Acacia	Acacia redolens	native	EcM-AM
Fabaceae	Acacia	Acacia resinimarginea	native	EcM-AM
Fabaceae	Acacia	Acacia resinistipulea	native	EcM-AM
Fabaceae	Acacia	Acacia retinervis	native	EcM-AM
Fabaceae	Acacia	Acacia retinodes	native	EcM-AM
Fabaceae	Acacia	Acacia rhodophloia	native	EcM-AM
Fabaceae	Acacia	Acacia rhodoxylon	native	EcM-AM
Fabaceae	Acacia	Acacia riceana	native	EcM-AM
Fabaceae	Acacia	Acacia richii	non-native	EcM-AM
Fabaceae	Acacia	Acacia rigens	native	EcM-AM
Fabaceae	Acacia	Acacia rivalis	native	EcM-AM
Fabaceae	Acacia	Acacia rostellifera	native	EcM-AM
Fabaceae	Acacia	Acacia rostriformis	native	EcM-AM
