scientific_name	genus	family	mycorrhizal_type	estimate
Jupunba abbottii	Jupunba	Fabaceae	AM	family
Hydrochorea acreana	Hydrochorea	Fabaceae	AM	genus
Jupunba adenophora	Jupunba	Fabaceae	AM	family
Jupunba alexandri	Jupunba	Fabaceae	AM	family
Jupunba asplenifolia	Jupunba	Fabaceae	AM	family
Jupunba auriculata	Jupunba	Fabaceae	AM	family
Jupunba barbouriana	Jupunba	Fabaceae	AM	family
Jupunba barnebyana	Jupunba	Fabaceae	AM	family
Jupunba brachystachya	Jupunba	Fabaceae	AM	family
Punjuba callejasii	Punjuba	Fabaceae	AM	genus
Jupunba campestris	Jupunba	Fabaceae	AM	family
Punjuba centiflora	Punjuba	Fabaceae	AM	genus
Jupunba cochleata	Jupunba	Fabaceae	AM	family
Abarema cochliocarpos	Abarema	Fabaceae	AM	genus
Jupunba commutata	Jupunba	Fabaceae	AM	family
Jupunba curvicarpa	Jupunba	Fabaceae	AM	family
Jupunba ferruginea	Jupunba	Fabaceae	AM	family
Jupunba filamentosa	Jupunba	Fabaceae	AM	family
Jupunba floribunda	Jupunba	Fabaceae	AM	family
Jupunba gallorum	Jupunba	Fabaceae	AM	family
Jupunba ganymedea	Jupunba	Fabaceae	AM	family
Jupunba glauca	Jupunba	Fabaceae	AM	family
Jupunba idiopoda	Jupunba	Fabaceae	AM	family
Punjuba josephi	Punjuba	Fabaceae	AM	genus
Abarema jupunba	Abarema	Fabaceae	AM	genus
Punjuba killipii	Punjuba	Fabaceae	AM	genus
Jupunba laeta	Jupunba	Fabaceae	AM	family
Jupunba langsdorffii	Jupunba	Fabaceae	AM	family
Punjuba lehmannii	Punjuba	Fabaceae	AM	genus
Jupunba leucophylla	Jupunba	Fabaceae	AM	family
Abarema levelii	Abarema	Fabaceae	AM	genus
Jupunba rhombea	Jupunba	Fabaceae	AM	family
Jupunba longipedunculata	Jupunba	Fabaceae	AM	family
Jupunba macradenia	Jupunba	Fabaceae	AM	family
Abarema maestrensis	Abarema	Fabaceae	AM	genus
Jupunba mataybifolia	Jupunba	Fabaceae	AM	family
Jupunba microcalyx	Jupunba	Fabaceae	AM	family
Jupunba nipensis	Jupunba	Fabaceae	AM	family
Jupunba obovalis	Jupunba	Fabaceae	AM	family
Jupunba oppositifolia	Jupunba	Fabaceae	AM	family
Jupunba oxyphyllidia	Jupunba	Fabaceae	AM	family
Jupunba piresii	Jupunba	Fabaceae	AM	family
Punjuba racemiflora	Punjuba	Fabaceae	AM	genus
Jupunba turbinata	Jupunba	Fabaceae	AM	family
Jupunba villifera	Jupunba	Fabaceae	AM	family
Jupunba villosa	Jupunba	Fabaceae	AM	family
Jupunba zolleriana	Jupunba	Fabaceae	AM	family
Abatia mexicana	Abatia	Salicaceae	AM	genus
Abatia parviflora	Abatia	Salicaceae	AM	genus
Abatia rugosa	Abatia	Salicaceae	AM	genus
Abatia spicata	Abatia	Salicaceae	AM	genus
Abies alba	Abies	Pinaceae	EcM	genus
Abies amabilis	Abies	Pinaceae	EcM	genus
Abies balsamea	Abies	Pinaceae	EcM	genus
Abies beshanzuensis	Abies	Pinaceae	EcM	genus
Abies bracteata	Abies	Pinaceae	EcM	genus
Abies cephalonica	Abies	Pinaceae	EcM	genus
Abies chensiensis	Abies	Pinaceae	EcM	genus
Abies cilicica	Abies	Pinaceae	EcM	genus
Abies concolor	Abies	Pinaceae	EcM	genus
Abies delavayi	Abies	Pinaceae	EcM	genus
Abies densa	Abies	Pinaceae	EcM	genus
Abies durangensis	Abies	Pinaceae	EcM	genus
Abies fabri	Abies	Pinaceae	EcM	genus
Abies fanjingshanensis	Abies	Pinaceae	EcM	genus
Abies fargesii	Abies	Pinaceae	EcM	genus
Abies firma	Abies	Pinaceae	EcM	genus
Abies forrestii	Abies	Pinaceae	EcM	genus
Abies fraseri	Abies	Pinaceae	EcM	genus
Abies grandis	Abies	Pinaceae	EcM	genus
Abies guatemalensis	Abies	Pinaceae	EcM	genus
Abies hickelii	Abies	Pinaceae	EcM	genus
Abies hidalgensis	Abies	Pinaceae	EcM	genus
Abies holophylla	Abies	Pinaceae	EcM	genus
Abies homolepis	Abies	Pinaceae	EcM	genus
Abies jaliscana	Abies	Pinaceae	EcM	genus
Abies kawakamii	Abies	Pinaceae	EcM	genus
Abies koreana	Abies	Pinaceae	EcM	genus
Abies lasiocarpa	Abies	Pinaceae	EcM	genus
Abies magnifica	Abies	Pinaceae	EcM	genus
Abies mariesii	Abies	Pinaceae	EcM	genus
Abies nebrodensis	Abies	Pinaceae	EcM	genus
Abies nephrolepis	Abies	Pinaceae	EcM	genus
Abies nordmanniana	Abies	Pinaceae	EcM	genus
Abies numidica	Abies	Pinaceae	EcM	genus
Abies pindrow	Abies	Pinaceae	EcM	genus
Abies pinsapo	Abies	Pinaceae	EcM	genus
Abies procera	Abies	Pinaceae	EcM	genus
Abies recurvata	Abies	Pinaceae	EcM	genus
Abies religiosa	Abies	Pinaceae	EcM	genus
Abies sachalinensis	Abies	Pinaceae	EcM	genus
Abies sibirica	Abies	Pinaceae	EcM	genus
Abies spectabilis	Abies	Pinaceae	EcM	genus
Abies squamata	Abies	Pinaceae	EcM	genus
Abies veitchii	Abies	Pinaceae	EcM	genus
Abies vejarii	Abies	Pinaceae	EcM	genus
Abies yuanbaoshanensis	Abies	Pinaceae	EcM	genus
Abies ziyuanensis	Abies	Pinaceae	EcM	genus
Abrahamia antongilensis	Abrahamia	Anacardiaceae	AM	family
Abrahamia betamponensis	Abrahamia	Anacardiaceae	AM	family
Abrahamia capuronii	Abrahamia	Anacardiaceae	AM	family
Abrahamia darainensis	Abrahamia	Anacardiaceae	AM	family
Abrahamia deflexa	Abrahamia	Anacardiaceae	AM	family
Abrahamia delphinensis	Abrahamia	Anacardiaceae	AM	family
Abrahamia ditimena	Abrahamia	Anacardiaceae	AM	family
Abrahamia ellipticarpa	Abrahamia	Anacardiaceae	AM	family
Abrahamia elongata	Abrahamia	Anacardiaceae	AM	family
Abrahamia grandidieri	Abrahamia	Anacardiaceae	AM	family
Abrahamia humbertii	Abrahamia	Anacardiaceae	AM	family
Abrahamia itromoensis	Abrahamia	Anacardiaceae	AM	family
Abrahamia latifolia	Abrahamia	Anacardiaceae	AM	family
Abrahamia lecomtei	Abrahamia	Anacardiaceae	AM	family
Abrahamia lenticellata	Abrahamia	Anacardiaceae	AM	family
Abrahamia littoralis	Abrahamia	Anacardiaceae	AM	family
Abrahamia lokobensis	Abrahamia	Anacardiaceae	AM	family
Abrahamia longipetiolata	Abrahamia	Anacardiaceae	AM	family
Abrahamia louvelii	Abrahamia	Anacardiaceae	AM	family
Abrahamia minutifolia	Abrahamia	Anacardiaceae	AM	family
Abrahamia nitida	Abrahamia	Anacardiaceae	AM	family
Abrahamia oblongifolia	Abrahamia	Anacardiaceae	AM	family
Abrahamia patrickii	Abrahamia	Anacardiaceae	AM	family
Abrahamia pauciflora	Abrahamia	Anacardiaceae	AM	family
Abrahamia phillipsonii	Abrahamia	Anacardiaceae	AM	family
Abrahamia revoluta	Abrahamia	Anacardiaceae	AM	family
Abrahamia sambiranensis	Abrahamia	Anacardiaceae	AM	family
Abrahamia sericea	Abrahamia	Anacardiaceae	AM	family
Abrahamia suarezensis	Abrahamia	Anacardiaceae	AM	family
Abrahamia thouvenotii	Abrahamia	Anacardiaceae	AM	family
Abrahamia turkii	Abrahamia	Anacardiaceae	AM	family
Abrahamia viguieri	Abrahamia	Anacardiaceae	AM	family
Abuta grandifolia	Abuta	Menispermaceae	AM	genus
Abuta grisebachii	Abuta	Menispermaceae	AM	genus
Abuta imene	Abuta	Menispermaceae	AM	genus
Abuta panurensis	Abuta	Menispermaceae	AM	genus
Abuta rufescens	Abuta	Menispermaceae	AM	genus
Abuta sandwithiana	Abuta	Menispermaceae	AM	genus
Abuta velutina	Abuta	Menispermaceae	AM	genus
Abutilon bastardioides	Abutilon	Malvaceae	AM	genus
Abutilon giganteum	Abutilon	Malvaceae	AM	genus
Abutilon grandidentatum	Abutilon	Malvaceae	AM	genus
Abutilon haenkeanum	Abutilon	Malvaceae	AM	genus
Abutilon herzogianum	Abutilon	Malvaceae	AM	genus
Abutilon incanum	Abutilon	Malvaceae	AM	genus
Abutilon leonardii	Abutilon	Malvaceae	AM	genus
Abutilon mangarevicum	Abutilon	Malvaceae	AM	genus
Abutilon sachetianum	Abutilon	Malvaceae	AM	genus
Abutilon stenopetalum	Abutilon	Malvaceae	AM	genus
Abutilon tehuantepecense	Abutilon	Malvaceae	AM	genus
Abutilon thyrsodendron	Abutilon	Malvaceae	AM	genus
Abutilon turumiquirense	Abutilon	Malvaceae	AM	genus
Abutilon venosum	Abutilon	Malvaceae	AM	genus
Abutilon whistleri	Abutilon	Malvaceae	AM	genus
Acacia acradenia	Acacia	Fabaceae	EcM-AM	genus
Acacia acrionastes	Acacia	Fabaceae	EcM-AM	genus
Acacia acuminata	Acacia	Fabaceae	EcM-AM	genus
Acacia adsurgens	Acacia	Fabaceae	EcM-AM	genus
Acacia adunca	Acacia	Fabaceae	EcM-AM	genus
Acacia aestivalis	Acacia	Fabaceae	EcM-AM	genus
Acacia alleniana	Acacia	Fabaceae	EcM-AM	genus
Acacia amblyophylla	Acacia	Fabaceae	EcM-AM	genus
Acacia ammobia	Acacia	Fabaceae	EcM-AM	genus
Acacia ammophila	Acacia	Fabaceae	EcM-AM	genus
Acacia ampliata	Acacia	Fabaceae	EcM-AM	genus
Acacia ampliceps	Acacia	Fabaceae	EcM-AM	genus
Acacia anastema	Acacia	Fabaceae	EcM-AM	genus
Acacia anaticeps	Acacia	Fabaceae	EcM-AM	genus
Acacia ancistrocarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia aneura	Acacia	Fabaceae	EcM-AM	genus
Acacia anfractuosa	Acacia	Fabaceae	EcM-AM	genus
Acacia angusta	Acacia	Fabaceae	EcM-AM	genus
Acacia anthochaera	Acacia	Fabaceae	EcM-AM	genus
Acacia aprepta	Acacia	Fabaceae	EcM-AM	genus
Acacia aptaneura	Acacia	Fabaceae	EcM-AM	genus
Acacia arafurica	Acacia	Fabaceae	EcM-AM	genus
Acacia araneosa	Acacia	Fabaceae	EcM-AM	genus
Acacia areolata	Acacia	Fabaceae	EcM-AM	genus
Acacia argyraea	Acacia	Fabaceae	EcM-AM	genus
Acacia argyrodendron	Acacia	Fabaceae	EcM-AM	genus
Acacia armillata	Acacia	Fabaceae	EcM-AM	genus
Acacia armitii	Acacia	Fabaceae	EcM-AM	genus
Acacia assimilis	Acacia	Fabaceae	EcM-AM	genus
Acacia atopa	Acacia	Fabaceae	EcM-AM	genus
Acacia attenuata	Acacia	Fabaceae	EcM-AM	genus
Acacia aulacocarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia auriculiformis	Acacia	Fabaceae	EcM-AM	genus
Acacia auripila	Acacia	Fabaceae	EcM-AM	genus
Acacia ausfeldii	Acacia	Fabaceae	EcM-AM	genus
Acacia ayersiana	Acacia	Fabaceae	EcM-AM	genus
Acacia baileyana	Acacia	Fabaceae	EcM-AM	genus
Acacia bakeri	Acacia	Fabaceae	EcM-AM	genus
Acacia bancroftiorum	Acacia	Fabaceae	EcM-AM	genus
Acacia barrettiorum	Acacia	Fabaceae	EcM-AM	genus
Acacia beauverdiana	Acacia	Fabaceae	EcM-AM	genus
Acacia binervata	Acacia	Fabaceae	EcM-AM	genus
Acacia binervia	Acacia	Fabaceae	EcM-AM	genus
Acacia blakei	Acacia	Fabaceae	EcM-AM	genus
Acacia blakelyi	Acacia	Fabaceae	EcM-AM	genus
Acacia blayana	Acacia	Fabaceae	EcM-AM	genus
Acacia brachystachya	Acacia	Fabaceae	EcM-AM	genus
Acacia brassii	Acacia	Fabaceae	EcM-AM	genus
Acacia brockii	Acacia	Fabaceae	EcM-AM	genus
Acacia bromilowiana	Acacia	Fabaceae	EcM-AM	genus
Acacia brumalis	Acacia	Fabaceae	EcM-AM	genus
Acacia bulgaensis	Acacia	Fabaceae	EcM-AM	genus
Acacia burrowii	Acacia	Fabaceae	EcM-AM	genus
Acacia burrowsiana	Acacia	Fabaceae	EcM-AM	genus
Acacia caerulescens	Acacia	Fabaceae	EcM-AM	genus
Acacia caesaneura	Acacia	Fabaceae	EcM-AM	genus
Acacia caesiella	Acacia	Fabaceae	EcM-AM	genus
Acacia calamifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia calcicola	Acacia	Fabaceae	EcM-AM	genus
Acacia cambagei	Acacia	Fabaceae	EcM-AM	genus
Acacia cana	Acacia	Fabaceae	EcM-AM	genus
Acacia cangaiensis	Acacia	Fabaceae	EcM-AM	genus
Acacia cardiophylla	Acacia	Fabaceae	EcM-AM	genus
Acacia carneorum	Acacia	Fabaceae	EcM-AM	genus
Acacia caroleae	Acacia	Fabaceae	EcM-AM	genus
Acacia catenulata	Acacia	Fabaceae	EcM-AM	genus
Acacia celastrifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia celsa	Acacia	Fabaceae	EcM-AM	genus
Acacia chartacea	Acacia	Fabaceae	EcM-AM	genus
Acacia cheelii	Acacia	Fabaceae	EcM-AM	genus
Acacia chrysotricha	Acacia	Fabaceae	EcM-AM	genus
Acacia cincinnata	Acacia	Fabaceae	EcM-AM	genus
Acacia citrinoviridis	Acacia	Fabaceae	EcM-AM	genus
Acacia clunies-rossiae	Acacia	Fabaceae	EcM-AM	genus
Acacia cockertoniana	Acacia	Fabaceae	EcM-AM	genus
Acacia cognata	Acacia	Fabaceae	EcM-AM	genus
Acacia colei	Acacia	Fabaceae	EcM-AM	genus
Acacia colletioides	Acacia	Fabaceae	EcM-AM	genus
Acacia complanata	Acacia	Fabaceae	EcM-AM	genus
Acacia concurrens	Acacia	Fabaceae	EcM-AM	genus
Acacia conferta	Acacia	Fabaceae	EcM-AM	genus
Acacia confusa	Acacia	Fabaceae	EcM-AM	genus
Acacia conniana	Acacia	Fabaceae	EcM-AM	genus
Acacia conspersa	Acacia	Fabaceae	EcM-AM	genus
Acacia convallium	Acacia	Fabaceae	EcM-AM	genus
Acacia coolgardiensis	Acacia	Fabaceae	EcM-AM	genus
Acacia coriacea	Acacia	Fabaceae	EcM-AM	genus
Acacia courtii	Acacia	Fabaceae	EcM-AM	genus
Acacia covenyi	Acacia	Fabaceae	EcM-AM	genus
Acacia cowaniana	Acacia	Fabaceae	EcM-AM	genus
Acacia cowleana	Acacia	Fabaceae	EcM-AM	genus
Acacia craspedocarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia crassa	Acacia	Fabaceae	EcM-AM	genus
Acacia crassicarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia crenulata	Acacia	Fabaceae	EcM-AM	genus
Acacia cretacea	Acacia	Fabaceae	EcM-AM	genus
Acacia cretata	Acacia	Fabaceae	EcM-AM	genus
Acacia crombiei	Acacia	Fabaceae	EcM-AM	genus
Acacia curvinervia	Acacia	Fabaceae	EcM-AM	genus
Acacia cuspidifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia cuthbertsonii	Acacia	Fabaceae	EcM-AM	genus
Acacia cyclops	Acacia	Fabaceae	EcM-AM	genus
Acacia cyperophylla	Acacia	Fabaceae	EcM-AM	genus
Acacia dallachiana	Acacia	Fabaceae	EcM-AM	genus
Acacia dangarensis	Acacia	Fabaceae	EcM-AM	genus
Acacia daphnifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia dawsonii	Acacia	Fabaceae	EcM-AM	genus
Acacia dealbata	Acacia	Fabaceae	EcM-AM	genus
Acacia deanei	Acacia	Fabaceae	EcM-AM	genus
Acacia debilis	Acacia	Fabaceae	EcM-AM	genus
Acacia decurrens	Acacia	Fabaceae	EcM-AM	genus
Acacia delibrata	Acacia	Fabaceae	EcM-AM	genus
Acacia demissa	Acacia	Fabaceae	EcM-AM	genus
Acacia dempsteri	Acacia	Fabaceae	EcM-AM	genus
Acacia dentifera	Acacia	Fabaceae	EcM-AM	genus
Acacia desertorum	Acacia	Fabaceae	EcM-AM	genus
Acacia desmondii	Acacia	Fabaceae	EcM-AM	genus
Acacia didyma	Acacia	Fabaceae	EcM-AM	genus
Acacia dietrichiana	Acacia	Fabaceae	EcM-AM	genus
Acacia difficilis	Acacia	Fabaceae	EcM-AM	genus
Acacia difformis	Acacia	Fabaceae	EcM-AM	genus
Acacia dimidiata	Acacia	Fabaceae	EcM-AM	genus
Acacia disparrima	Acacia	Fabaceae	EcM-AM	genus
Acacia distans	Acacia	Fabaceae	EcM-AM	genus
Acacia dodonaeifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia dolichophylla	Acacia	Fabaceae	EcM-AM	genus
Acacia donaldsonii	Acacia	Fabaceae	EcM-AM	genus
Acacia doratoxylon	Acacia	Fabaceae	EcM-AM	genus
Acacia drepanophylla	Acacia	Fabaceae	EcM-AM	genus
Acacia dunnii	Acacia	Fabaceae	EcM-AM	genus
Acacia duriuscula	Acacia	Fabaceae	EcM-AM	genus
Acacia echinuliflora	Acacia	Fabaceae	EcM-AM	genus
Acacia effusifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia elachantha	Acacia	Fabaceae	EcM-AM	genus
Acacia elata	Acacia	Fabaceae	EcM-AM	genus
Acacia elongata	Acacia	Fabaceae	EcM-AM	genus
Acacia enervia	Acacia	Fabaceae	EcM-AM	genus
Acacia ensifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia ephedroides	Acacia	Fabaceae	EcM-AM	genus
Acacia eremaea	Acacia	Fabaceae	EcM-AM	genus
Acacia eriantha	Acacia	Fabaceae	EcM-AM	genus
Acacia eriopoda	Acacia	Fabaceae	EcM-AM	genus
Acacia estrophiolata	Acacia	Fabaceae	EcM-AM	genus
Acacia excelsa	Acacia	Fabaceae	EcM-AM	genus
Acacia exigua	Acacia	Fabaceae	EcM-AM	genus
Acacia exudans	Acacia	Fabaceae	EcM-AM	genus
Acacia falcata	Acacia	Fabaceae	EcM-AM	genus
Acacia falciformis	Acacia	Fabaceae	EcM-AM	genus
Acacia fasciculifera	Acacia	Fabaceae	EcM-AM	genus
Acacia fauntleroyi	Acacia	Fabaceae	EcM-AM	genus
Acacia filicifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia filifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia fimbriata	Acacia	Fabaceae	EcM-AM	genus
Acacia flavescens	Acacia	Fabaceae	EcM-AM	genus
Acacia fleckeri	Acacia	Fabaceae	EcM-AM	genus
Acacia flocktoniae	Acacia	Fabaceae	EcM-AM	genus
Acacia floribunda	Acacia	Fabaceae	EcM-AM	genus
Acacia floydii	Acacia	Fabaceae	EcM-AM	genus
Acacia frigescens	Acacia	Fabaceae	EcM-AM	genus
Acacia fulva	Acacia	Fabaceae	EcM-AM	genus
Acacia fuscaneura	Acacia	Fabaceae	EcM-AM	genus
Acacia galeata	Acacia	Fabaceae	EcM-AM	genus
Acacia gardneri	Acacia	Fabaceae	EcM-AM	genus
Acacia georgensis	Acacia	Fabaceae	EcM-AM	genus
Acacia georginae	Acacia	Fabaceae	EcM-AM	genus
Acacia gibbosa	Acacia	Fabaceae	EcM-AM	genus
Acacia gillii	Acacia	Fabaceae	EcM-AM	genus
Acacia glaucocaesia	Acacia	Fabaceae	EcM-AM	genus
Acacia glaucocarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia gonocarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia gonoclada	Acacia	Fabaceae	EcM-AM	genus
Acacia grandifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia grasbyi	Acacia	Fabaceae	EcM-AM	genus
Acacia hakeoides	Acacia	Fabaceae	EcM-AM	genus
Acacia hamersleyensis	Acacia	Fabaceae	EcM-AM	genus
Acacia hammondii	Acacia	Fabaceae	EcM-AM	genus
Acacia harpophylla	Acacia	Fabaceae	EcM-AM	genus
Acacia havilandiorum	Acacia	Fabaceae	EcM-AM	genus
Acacia hemignosta	Acacia	Fabaceae	EcM-AM	genus
Acacia hemsleyi	Acacia	Fabaceae	EcM-AM	genus
Acacia heteroclita	Acacia	Fabaceae	EcM-AM	genus
Acacia heterophylla	Acacia	Fabaceae	EcM-AM	genus
Acacia holosericea	Acacia	Fabaceae	EcM-AM	genus
Acacia holotricha	Acacia	Fabaceae	EcM-AM	genus
Acacia hopperiana	Acacia	Fabaceae	EcM-AM	genus
Acacia howittii	Acacia	Fabaceae	EcM-AM	genus
Acacia hylonoma	Acacia	Fabaceae	EcM-AM	genus
Acacia implexa	Acacia	Fabaceae	EcM-AM	genus
Acacia inaequilatera	Acacia	Fabaceae	EcM-AM	genus
Acacia inceana	Acacia	Fabaceae	EcM-AM	genus
Acacia incurvaneura	Acacia	Fabaceae	EcM-AM	genus
Acacia ingramii	Acacia	Fabaceae	EcM-AM	genus
Acacia inophloia	Acacia	Fabaceae	EcM-AM	genus
Acacia intorta	Acacia	Fabaceae	EcM-AM	genus
Acacia irrorata	Acacia	Fabaceae	EcM-AM	genus
Acacia islana	Acacia	Fabaceae	EcM-AM	genus
Acacia ixodes	Acacia	Fabaceae	EcM-AM	genus
Acacia jamesiana	Acacia	Fabaceae	EcM-AM	genus
Acacia jasperensis	Acacia	Fabaceae	EcM-AM	genus
Acacia jennerae	Acacia	Fabaceae	EcM-AM	genus
Acacia jensenii	Acacia	Fabaceae	EcM-AM	genus
Acacia jibberdingensis	Acacia	Fabaceae	EcM-AM	genus
Acacia jucunda	Acacia	Fabaceae	EcM-AM	genus
Acacia julifera	Acacia	Fabaceae	EcM-AM	genus
Acacia kelleri	Acacia	Fabaceae	EcM-AM	genus
Acacia kempeana	Acacia	Fabaceae	EcM-AM	genus
Acacia kenneallyi	Acacia	Fabaceae	EcM-AM	genus
Acacia kettlewelliae	Acacia	Fabaceae	EcM-AM	genus
Acacia koa	Acacia	Fabaceae	EcM-AM	genus
Acacia lacertensis	Acacia	Fabaceae	EcM-AM	genus
Acacia lamprocarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia lasiocalyx	Acacia	Fabaceae	EcM-AM	genus
Acacia latescens	Acacia	Fabaceae	EcM-AM	genus
Acacia latifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia latior	Acacia	Fabaceae	EcM-AM	genus
Acacia latzii	Acacia	Fabaceae	EcM-AM	genus
Acacia leeuweniana	Acacia	Fabaceae	EcM-AM	genus
Acacia legnota	Acacia	Fabaceae	EcM-AM	genus
Acacia leiocalyx	Acacia	Fabaceae	EcM-AM	genus
Acacia leiophylla	Acacia	Fabaceae	EcM-AM	genus
Acacia leprosa	Acacia	Fabaceae	EcM-AM	genus
Acacia leptocarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia leptoloba	Acacia	Fabaceae	EcM-AM	genus
Acacia leptopetala	Acacia	Fabaceae	EcM-AM	genus
Acacia leptostachya	Acacia	Fabaceae	EcM-AM	genus
Acacia leucoclada	Acacia	Fabaceae	EcM-AM	genus
Acacia ligulata	Acacia	Fabaceae	EcM-AM	genus
Acacia ligustrina	Acacia	Fabaceae	EcM-AM	genus
Acacia linearifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia linifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia loderi	Acacia	Fabaceae	EcM-AM	genus
Acacia longifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia longiphyllodinea	Acacia	Fabaceae	EcM-AM	genus
Acacia longispicata	Acacia	Fabaceae	EcM-AM	genus
Acacia longispinea	Acacia	Fabaceae	EcM-AM	genus
Acacia longissima	Acacia	Fabaceae	EcM-AM	genus
Acacia loroloba	Acacia	Fabaceae	EcM-AM	genus
Acacia lunata	Acacia	Fabaceae	EcM-AM	genus
Acacia lysiphloia	Acacia	Fabaceae	EcM-AM	genus
Acacia mabellae	Acacia	Fabaceae	EcM-AM	genus
Acacia macdonnellensis	Acacia	Fabaceae	EcM-AM	genus
Acacia maconochieana	Acacia	Fabaceae	EcM-AM	genus
Acacia macradenia	Acacia	Fabaceae	EcM-AM	genus
Acacia maidenii	Acacia	Fabaceae	EcM-AM	genus
Acacia mangium	Acacia	Fabaceae	EcM-AM	genus
Acacia maranoensis	Acacia	Fabaceae	EcM-AM	genus
Acacia marramamba	Acacia	Fabaceae	EcM-AM	genus
Acacia masliniana	Acacia	Fabaceae	EcM-AM	genus
Acacia mathuataensis	Acacia	Fabaceae	EcM-AM	genus
Acacia matthewii	Acacia	Fabaceae	EcM-AM	genus
Acacia mearnsii	Acacia	Fabaceae	EcM-AM	genus
Acacia meiosperma	Acacia	Fabaceae	EcM-AM	genus
Acacia melanoxylon	Acacia	Fabaceae	EcM-AM	genus
Acacia melvillei	Acacia	Fabaceae	EcM-AM	genus
Acacia merinthophora	Acacia	Fabaceae	EcM-AM	genus
Acacia microbotrya	Acacia	Fabaceae	EcM-AM	genus
Acacia microcybe	Acacia	Fabaceae	EcM-AM	genus
Acacia microsperma	Acacia	Fabaceae	EcM-AM	genus
Acacia midgleyi	Acacia	Fabaceae	EcM-AM	genus
Acacia mimula	Acacia	Fabaceae	EcM-AM	genus
Acacia minniritchi	Acacia	Fabaceae	EcM-AM	genus
Acacia minyura	Acacia	Fabaceae	EcM-AM	genus
Acacia mollifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia montana	Acacia	Fabaceae	EcM-AM	genus
Acacia monticola	Acacia	Fabaceae	EcM-AM	genus
Acacia mountfordiae	Acacia	Fabaceae	EcM-AM	genus
Acacia mucronata	Acacia	Fabaceae	EcM-AM	genus
Acacia muelleriana	Acacia	Fabaceae	EcM-AM	genus
Acacia mulganeura	Acacia	Fabaceae	EcM-AM	genus
Acacia multisiliqua	Acacia	Fabaceae	EcM-AM	genus
Acacia multistipulosa	Acacia	Fabaceae	EcM-AM	genus
Acacia murrayana	Acacia	Fabaceae	EcM-AM	genus
Acacia nanodealbata	Acacia	Fabaceae	EcM-AM	genus
Acacia neriifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia neurocarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia neurophylla	Acacia	Fabaceae	EcM-AM	genus
Acacia nyssophylla	Acacia	Fabaceae	EcM-AM	genus
Acacia obliquinervia	Acacia	Fabaceae	EcM-AM	genus
Acacia obtusifolia	Acacia	Fabaceae	EcM-AM	genus
Acacia oldfieldii	Acacia	Fabaceae	EcM-AM	genus
Acacia olgana	Acacia	Fabaceae	EcM-AM	genus
Acacia olsenii	Acacia	Fabaceae	EcM-AM	genus
Acacia omalophylla	Acacia	Fabaceae	EcM-AM	genus
Acacia ommatosperma	Acacia	Fabaceae	EcM-AM	genus
Acacia oraria	Acacia	Fabaceae	EcM-AM	genus
Acacia orites	Acacia	Fabaceae	EcM-AM	genus
Acacia orthocarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia oshanesii	Acacia	Fabaceae	EcM-AM	genus
Acacia oswaldii	Acacia	Fabaceae	EcM-AM	genus
Acacia oxycedrus	Acacia	Fabaceae	EcM-AM	genus
Acacia pachyacra	Acacia	Fabaceae	EcM-AM	genus
Acacia pachycarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia pachyceras	Acacia	Fabaceae	EcM-AM	genus
Acacia palustris	Acacia	Fabaceae	EcM-AM	genus
Acacia papyrocarpa	Acacia	Fabaceae	EcM-AM	genus
Acacia paradoxa	Acacia	Fabaceae	EcM-AM	genus
Acacia paraneura	Acacia	Fabaceae	EcM-AM	genus
Acacia parramattensis	Acacia	Fabaceae	EcM-AM	genus
Acacia parvipinnula	Acacia	Fabaceae	EcM-AM	genus
Acacia pataczekii	Acacia	Fabaceae	EcM-AM	genus
Acacia pedleyi	Acacia	Fabaceae	EcM-AM	genus
Acacia pellita	Acacia	Fabaceae	EcM-AM	genus
Acacia pendula	Acacia	Fabaceae	EcM-AM	genus
