family	genus	scientific_name	mycorrhizal_type
Euphorbiaceae	Excoecaria	Excoecaria parvifolia	AM
Sapindaceae	Dodonaea	Dodonaea viscosa	AM
Elaeocarpaceae	Aceratium	Aceratium megalospermum	AM
Fabaceae	Senna	Senna cardiosperma	AM
Myrtaceae	Corymbia	Corymbia candida	EcM
Rutaceae	Citrus	Citrus inodora	AM
Euphorbiaceae	Rockinghamia	Rockinghamia angustifolia	AM
Fabaceae	Acacia	Acacia longispicata	EcM-AM
Fabaceae	Acacia	Acacia bulgaensis	EcM-AM
Moraceae	Ficus	Ficus lacor	AM
Ericaceae	Leucopogon	Leucopogon parviflorus	ErM
Solanaceae	Solanum	Solanum aculeastrum	AM
Salicaceae	Homalium	Homalium vitiense	AM
Myrtaceae	Rhodomyrtus	Rhodomyrtus psidioides	AM
Phyllanthaceae	Glochidion	Glochidion ferdinandi	AM
Fabaceae	Acacia	Acacia hammondii	EcM-AM
Fabaceae	Acacia	Acacia dimidiata	EcM-AM
Lauraceae	Cryptocarya	Cryptocarya meisneriana	AM
Sapindaceae	Cupaniopsis	Cupaniopsis foveolata	AM
Lamiaceae	Vitex	Vitex trifolia	AM
Fabaceae	Acacia	Acacia cheelii	EcM-AM
Fabaceae	Acacia	Acacia leprosa	EcM-AM
Fabaceae	Acacia	Acacia aneura	EcM-AM
Rubiaceae	Morinda	Morinda citrifolia	AM
Rhamnaceae	Ceanothus	Ceanothus caeruleus	AM
Cycadaceae	Cycas	Cycas lane-poolei	AM
Meliaceae	Melia	Melia azedarach	AM
Proteaceae	Conospermum	Conospermum triplinervium	NM
Fabaceae	Acacia	Acacia koa	EcM-AM
Arecaceae	Livistona	Livistona alfredii	AM
Fabaceae	Acacia	Acacia aestivalis	EcM-AM
Proteaceae	Stenocarpus	Stenocarpus cunninghamii	NM
Sapindaceae	Mischocarpus	Mischocarpus lachnocarpus	AM
Apocynaceae	Tabernaemontana	Tabernaemontana pandacaqui	AM
Chrysobalanaceae	Parinari	Parinari nonda	AM
Annonaceae	Meiogyne	Meiogyne cylindrocarpa	AM
Fabaceae	Acacia	Acacia saligna	EcM-AM
Myrtaceae	Leptospermum	Leptospermum trinervium	EcM-AM
Myrtaceae	Corymbia	Corymbia flavescens	EcM
Myrtaceae	Eucalyptus	Eucalyptus camfieldii	EcM
Sapotaceae	Planchonella	Planchonella chartacea	AM
Fabaceae	Acacia	Acacia pulchella	EcM-AM
Rhizophoraceae	Rhizophora	Rhizophora apiculata	NM-AM
Fabaceae	Acacia	Acacia retinodes	EcM-AM
Sapindaceae	Sarcopteryx	Sarcopteryx reticulata	AM
Combretaceae	Terminalia	Terminalia subacroptera	AM
