family	genus	scientific_name	mycorrhizal_type
Violaceae	Melicytus	Melicytus ramiflorus	AM
Myrtaceae	Eucalyptus	Eucalyptus concinna	EcM
Sapotaceae	Burckella	Burckella macropoda	AM
Myrtaceae	Eucalyptus	Eucalyptus caliginosa	EcM
Monimiaceae	Steganthera	Steganthera macooraia	AM
Myrtaceae	Kunzea	Kunzea ericoides	EcM-AM
Phyllanthaceae	Breynia	Breynia oblongifolia	AM
Moraceae	Ficus	Ficus atricha	AM
Myrtaceae	Eucalyptus	Eucalyptus splendens	EcM
Rutaceae	Citrus	Citrus australasica	AM
Myrtaceae	Metrosideros	Metrosideros sclerocarpa	AM
Myrtaceae	Eucalyptus	Eucalyptus risdonii	EcM
Rubiaceae	Timonius	Timonius timon	AM
Fabaceae	Acacia	Acacia celsa	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus odorata	EcM
Lauraceae	Cryptocarya	Cryptocarya leucophylla	AM
Myrtaceae	Decaspermum	Decaspermum struckoilicum	AM
Pandanaceae	Pandanus	Pandanus brookei	NM-AM
Rutaceae	Bosistoa	Bosistoa pentacocca	AM
Lecythidaceae	Barringtonia	Barringtonia edulis	AM
Myrtaceae	Eucalyptus	Eucalyptus arborella	EcM
Myrtaceae	Eucalyptus	Eucalyptus suberea	EcM
Fabaceae	Acacia	Acacia terminalis	EcM-AM
Sapindaceae	Alectryon	Alectryon coriaceus	AM
Myrtaceae	Tristania	Tristania neriifolia	EcM-AM
Fabaceae	Acacia	Acacia lamprocarpa	EcM-AM
Atherospermataceae	Daphnandra	Daphnandra micrantha	AM
Fabaceae	Acacia	Acacia leucoclada	EcM-AM
Fabaceae	Acacia	Acacia fasciculifera	EcM-AM
Proteaceae	Banksia	Banksia brownii	NM
Myrtaceae	Eucalyptus	Eucalyptus sparsa	EcM
Apocynaceae	Carissa	Carissa spinarum	AM
Myrtaceae	Eucalyptus	Eucalyptus camaldulensis	EcM
Myrtaceae	Eucalyptus	Eucalyptus bicolor	EcM
Lauraceae	Endiandra	Endiandra virens	AM
Malvaceae	Brachychiton	Brachychiton tuberculatus	AM
Myrtaceae	Eucalyptus	Eucalyptus howittiana	EcM
Fabaceae	Acacia	Acacia stenophylla	EcM-AM
Myrtaceae	Leptospermum	Leptospermum brevipes	EcM-AM
Myrtaceae	Corymbia	Corymbia foelscheana	EcM
Rubiaceae	Tarenna	Tarenna monticola	NM-AM
Myrtaceae	Eucalyptus	Eucalyptus obtusiflora	EcM
Fabaceae	Acacia	Acacia oraria	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus michaeliana	EcM
Lauraceae	Endiandra	Endiandra globosa	AM
Moraceae	Ficus	Ficus virens	AM
Myrtaceae	Eucalyptus	Eucalyptus leptophylla	EcM
Araliaceae	Polyscias	Polyscias cissodendron	AM
Myrtaceae	Eucalyptus	Eucalyptus cameronii	EcM
Phyllanthaceae	Cleistanthus	Cleistanthus oblongifolius	AM
Lamiaceae	Gmelina	Gmelina leichhardtii	AM
Myrtaceae	Eucalyptus	Eucalyptus cunninghamii	EcM
Pandanaceae	Benstonea	Benstonea lauterbachii	NM-AM
Atherospermataceae	Doryphora	Doryphora aromatica	AM
Phyllanthaceae	Actephila	Actephila sessilifolia	AM
Myrtaceae	Eucalyptus	Eucalyptus conica	EcM
Myrtaceae	Eucalyptus	Eucalyptus stenostoma	EcM
Putranjivaceae	Drypetes	Drypetes deplanchei	AM
Fabaceae	Acacia	Acacia pycnantha	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus goniocalyx	EcM
Podocarpaceae	Pectinopitys	Pectinopitys ladei	AM
Fabaceae	Acacia	Acacia areolata	EcM-AM
Euphorbiaceae	Croton	Croton choristadenius	AM
Myrtaceae	Melaleuca	Melaleuca lasiandra	EcM-AM
Myrtaceae	Melaleuca	Melaleuca cajuputi	EcM-AM
Phyllanthaceae	Glochidion	Glochidion barronense	AM
Scrophulariaceae	Eremophila	Eremophila longifolia	AM
Myrtaceae	Eucalyptus	Eucalyptus celastroides	EcM
Myrtaceae	Uromyrtus	Uromyrtus lamingtonensis	AM
Myrtaceae	Leptospermum	Leptospermum morrisonii	EcM-AM
Nyctaginaceae	Guapira	Guapira fragrans	EcM
Myrtaceae	Corymbia	Corymbia watsoniana	EcM
Lauraceae	Litsea	Litsea umbellata	AM
Annonaceae	Miliusa	Miliusa balansae	AM
Myrtaceae	Eucalyptus	Eucalyptus camphora	EcM
Euphorbiaceae	Calycopeplus	Calycopeplus marginatus	AM
Myrtaceae	Eucalyptus	Eucalyptus scias	EcM
Sapindaceae	Castanospora	Castanospora alphandi	AM
Myrtaceae	Eucalyptus	Eucalyptus pyriformis	EcM
Malvaceae	Grewia	Grewia abutilifolia	AM
Fabaceae	Acacia	Acacia excelsa	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus prolixa	EcM
Rubiaceae	Pavetta	Pavetta indica	AM
Lamiaceae	Glossocarya	Glossocarya scandens	AM
Myrtaceae	Eucalyptus	Eucalyptus merrickiae	EcM
Myrtaceae	Rhodomyrtus	Rhodomyrtus trineura	AM
Rutaceae	Dinosperma	Dinosperma erythrococca	AM
Myrtaceae	Eucalyptus	Eucalyptus loxophleba	EcM
Meliaceae	Xylocarpus	Xylocarpus moluccensis	AM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus coorangooloo	AM
Moraceae	Ficus	Ficus hirsuta	AM
Myrtaceae	Eucalyptus	Eucalyptus globulus	EcM
Fabaceae	Acacia	Acacia dealbata	EcM-AM
Rhamnaceae	Rhamnella	Rhamnella vitiensis	NM-AM
Myrtaceae	Eucalyptus	Eucalyptus polybractea	EcM
Lauraceae	Litsea	Litsea domarensis	AM
Phyllanthaceae	Antidesma	Antidesma ghaesembilla	AM
Fabaceae	Acacia	Acacia atopa	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus burgessiana	EcM
Apocynaceae	Hylaea	Hylaea arborescens	AM
Rutaceae	Zanthoxylum	Zanthoxylum rhetsa	AM
Fabaceae	Acacia	Acacia doratoxylon	EcM-AM
Pittosporaceae	Pittosporum	Pittosporum phillyreoides	AM
Myrtaceae	Melaleuca	Melaleuca decussata	EcM-AM
Fabaceae	Acacia	Acacia cambagei	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus imitans	EcM
Rutaceae	Acronychia	Acronychia littoralis	AM
Fabaceae	Archidendron	Archidendron ramiflorum	AM
Cunoniaceae	Pullea	Pullea stutzeri	AM
Santalaceae	Santalum	Santalum lanceolatum	NM-AM
Cannabaceae	Aphananthe	Aphananthe philippinensis	AM
Fabaceae	Acacia	Acacia cyperophylla	EcM-AM
Rutaceae	Flindersia	Flindersia ifflana	AM
Myrtaceae	Corymbia	Corymbia eximia	EcM
Myrtaceae	Eucalyptus	Eucalyptus siderophloia	EcM
Malvaceae	Brachychiton	Brachychiton diversifolius	AM
Simaroubaceae	Ailanthus	Ailanthus triphysa	AM
Fabaceae	Acacia	Acacia ancistrocarpa	EcM-AM
Sapotaceae	Pleioluma	Pleioluma singuliflora	AM
Fabaceae	Acacia	Acacia melanoxylon	EcM-AM
Malvaceae	Commersonia	Commersonia bartramia	AM
Myrtaceae	Corymbia	Corymbia xanthope	EcM
Arecaceae	Licuala	Licuala ramsayi	AM
Myrtaceae	Rhodamnia	Rhodamnia fordii	AM
Sapindaceae	Elattostachys	Elattostachys xylocarpa	AM
Euphorbiaceae	Excoecaria	Excoecaria agallocha	AM
Myrtaceae	Gossia	Gossia bidwillii	AM
Araliaceae	Polyscias	Polyscias spectabilis	AM
Lauraceae	Litsea	Litsea timoriana	AM
Fabaceae	Parkia	Parkia timoriana	AM
Myrtaceae	Corymbia	Corymbia terminalis	EcM
Piperaceae	Piper	Piper dilatatum	NM-AM
Proteaceae	Banksia	Banksia anatona	NM
Fabaceae	Acacia	Acacia inaequilatera	EcM-AM
Fabaceae	Chamaecytisus	Chamaecytisus prolifer	AM
Fabaceae	Acacia	Acacia baileyana	EcM-AM
Myrtaceae	Asteromyrtus	Asteromyrtus brassii	EcM-AM
Proteaceae	Lambertia	Lambertia rariflora	NM
Myrtaceae	Melaleuca	Melaleuca nodosa	EcM-AM
Malvaceae	Brachychiton	Brachychiton australis	AM
Fabaceae	Acacia	Acacia caesiella	EcM-AM
Araliaceae	Tetrapanax	Tetrapanax papyrifer	AM
Myrtaceae	Eucalyptus	Eucalyptus incrassata	EcM
Myrtaceae	Eucalyptus	Eucalyptus ovata	EcM
Proteaceae	Persoonia	Persoonia conjuncta	NM
Myrtaceae	Eucalyptus	Eucalyptus mitchelliana	EcM
Myrtaceae	Eucalyptus	Eucalyptus youmanii	EcM
Myodocarpaceae	Delarbrea	Delarbrea collina	AM
Fabaceae	Acacia	Acacia heteroclita	EcM-AM
Casuarinaceae	Allocasuarina	Allocasuarina huegeliana	EcM-AM
Fabaceae	Acacia	Acacia flavescens	EcM-AM
Fabaceae	Acacia	Acacia spirorbis	EcM-AM
Rutaceae	Melicope	Melicope xanthoxyloides	AM
Fabaceae	Acacia	Acacia desmondii	EcM-AM
Fabaceae	Acacia	Acacia neriifolia	EcM-AM
Scrophulariaceae	Eremophila	Eremophila youngii	AM
Rubiaceae	Nauclea	Nauclea orientalis	AM
Myrtaceae	Xanthostemon	Xanthostemon formosus	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus phenax	EcM
Winteraceae	Zygogynum	Zygogynum howeanum	AM
Anacardiaceae	Buchanania	Buchanania arborescens	AM
Myrtaceae	Eucalyptus	Eucalyptus bancroftii	EcM
Fabaceae	Castanospermum	Castanospermum australe	AM
Myrtaceae	Melaleuca	Melaleuca tamariscina	EcM-AM
Fabaceae	Acacia	Acacia hakeoides	EcM-AM
Myrtaceae	Decaspermum	Decaspermum humile	AM
Myrtaceae	Eucalyptus	Eucalyptus melanoleuca	EcM
Malvaceae	Lagunaria	Lagunaria queenslandica	AM
Lauraceae	Cryptocarya	Cryptocarya glaucescens	AM
Fabaceae	Acacia	Acacia latescens	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus pyrocarpa	EcM
Fabaceae	Acacia	Acacia nyssophylla	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus obliqua	EcM
Meliaceae	Didymocheton	Didymocheton pachyphyllus	AM
Lauraceae	Endiandra	Endiandra muelleri	AM
Lecythidaceae	Careya	Careya arborea	AM
Fabaceae	Acacia	Acacia platycarpa	EcM-AM
Rutaceae	Sarcomelicope	Sarcomelicope simplicifolia	AM
Myrtaceae	Melaleuca	Melaleuca ferruginea	EcM-AM
Fabaceae	Acacia	Acacia montana	EcM-AM
Rubiaceae	Cyclophyllum	Cyclophyllum coprosmoides	AM
Bignoniaceae	Dolichandrone	Dolichandrone alternifolia	AM
Myrtaceae	Syzygium	Syzygium minutuliflorum	AM
Myrtaceae	Eucalyptus	Eucalyptus gunnii	EcM
Myrtaceae	Eucalyptus	Eucalyptus canobolensis	EcM
Myrtaceae	Corymbia	Corymbia maculata	EcM
Sapotaceae	Planchonella	Planchonella xylocarpa	AM
Fabaceae	Cassia	Cassia queenslandica	AM
Myrtaceae	Melaleuca	Melaleuca lanceolata	EcM-AM
Fabaceae	Acacia	Acacia aulacocarpa	EcM-AM
Meliaceae	Goniocheton	Goniocheton arborescens	AM
Arecaceae	Wodyetia	Wodyetia bifurcata	AM
Myrtaceae	Eucalyptus	Eucalyptus angularis	EcM
Myrtaceae	Eucalyptus	Eucalyptus wyolensis	EcM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus acuminatus	AM
Rubiaceae	Gardenia	Gardenia fucata	AM
Myrtaceae	Eucalyptus	Eucalyptus decipiens	EcM
Phyllanthaceae	Bridelia	Bridelia tomentosa	AM
Proteaceae	Grevillea	Grevillea albiflora	NM
Myrtaceae	Eucalyptus	Eucalyptus coolabah	EcM
Boraginaceae	Heliotropium	Heliotropium arboreum	NM-AM
Proteaceae	Banksia	Banksia prionotes	NM
Euphorbiaceae	Endospermum	Endospermum myrmecophilum	AM
Rosaceae	Pyrus	Pyrus spinosa	AM
Fabaceae	Callistachys	Callistachys lanceolata	EcM-AM
Sapindaceae	Cupaniopsis	Cupaniopsis shirleyana	AM
Moraceae	Ficus	Ficus watkinsiana	AM
Ebenaceae	Diospyros	Diospyros montana	AM
Lauraceae	Cryptocarya	Cryptocarya endiandrifolia	AM
Sapindaceae	Jagera	Jagera javanica	AM
Lecythidaceae	Barringtonia	Barringtonia asiatica	AM
Myrtaceae	Eucalyptus	Eucalyptus decorticans	EcM
Platanaceae	Platanus	Platanus orientalis	AM
Pandanaceae	Pandanus	Pandanus solms-laubachii	NM-AM
Fabaceae	Acacia	Acacia synchronicia	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus propinqua	EcM
Proteaceae	Neorites	Neorites kevediana	NM
Lauraceae	Cryptocarya	Cryptocarya rigida	AM
Fabaceae	Acacia	Acacia conferta	EcM-AM
Moraceae	Ficus	Ficus platypoda	AM
Lauraceae	Cryptocarya	Cryptocarya hypospodia	AM
Proteaceae	Alloxylon	Alloxylon wickhamii	NM
Sapotaceae	Pouteria	Pouteria caimito	AM
Rubiaceae	Lasianthus	Lasianthus strigosus	AM
Proteaceae	Lambertia	Lambertia orbifolia	NM
Moraceae	Ficus	Ficus mollior	AM
Fabaceae	Acacia	Acacia spania	EcM-AM
Fabaceae	Acacia	Acacia pycnostachya	EcM-AM
Fabaceae	Acacia	Acacia pruinocarpa	EcM-AM
Moraceae	Ficus	Ficus citrifolia	AM
Myrtaceae	Eucalyptus	Eucalyptus tindaliae	EcM
Fabaceae	Acacia	Acacia concurrens	EcM-AM
Santalaceae	Exocarpos	Exocarpos latifolius	NM-AM
Fabaceae	Acacia	Acacia plectocarpa	EcM-AM
Euphorbiaceae	Macaranga	Macaranga subdentata	AM
Urticaceae	Pouzolzia	Pouzolzia australis	NM
Apocynaceae	Cerbera	Cerbera manghas	AM
Arecaceae	Howea	Howea belmoreana	AM
Myrtaceae	Syzygium	Syzygium sayeri	AM
Fabaceae	Acacia	Acacia striatifolia	EcM-AM
Fabaceae	Acacia	Acacia longiphyllodinea	EcM-AM
Proteaceae	Grevillea	Grevillea barklyana	NM
Fabaceae	Zygia	Zygia longifolia	AM
Myrtaceae	Eucalyptus	Eucalyptus websteriana	EcM
Phyllanthaceae	Phyllanthus	Phyllanthus reticulatus	AM
Sapindaceae	Cupaniopsis	Cupaniopsis simulatus	AM
Primulaceae	Myrsine	Myrsine variabilis	AM
Fabaceae	Acacia	Acacia riceana	EcM-AM
Haloragaceae	Glischrocaryon	Glischrocaryon racemosum	NM-AM
Fabaceae	Acacia	Acacia blakei	EcM-AM
Rutaceae	Citrus	Citrus australis	AM
Proteaceae	Lambertia	Lambertia inermis	NM
Rubiaceae	Atractocarpus	Atractocarpus fitzalanii	NM-AM
Proteaceae	Hakea	Hakea salicifolia	NM
Sapindaceae	Cupaniopsis	Cupaniopsis anacardioides	AM
Myrtaceae	Eucalyptus	Eucalyptus occidentalis	EcM
Scrophulariaceae	Eremophila	Eremophila dalyana	AM
Myrtaceae	Eucalyptus	Eucalyptus purpurata	EcM
Escalloniaceae	Escallonia	Escallonia paniculata	AM
Apocynaceae	Cerbera	Cerbera odollam	AM
Myrtaceae	Taxandria	Taxandria linearifolia	AM
Myrtaceae	Angophora	Angophora costata	EcM
Fabaceae	Acacia	Acacia arafurica	EcM-AM
Rutaceae	Flindersia	Flindersia dissosperma	AM
Loganiaceae	Strychnos	Strychnos wallichiana	AM
Myrtaceae	Eucalyptus	Eucalyptus urna	EcM
Fabaceae	Acacia	Acacia tetragonophylla	EcM-AM
Sapindaceae	Alectryon	Alectryon subdentatus	AM
Proteaceae	Banksia	Banksia ilicifolia	NM
Rutaceae	Acronychia	Acronychia eungellensis	AM
Proteaceae	Hakea	Hakea divaricata	NM
Malvaceae	Thespesia	Thespesia populnea	AM
Myrtaceae	Eucalyptus	Eucalyptus urnigera	EcM
Fabaceae	Acacia	Acacia dallachiana	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus chartaboma	EcM
Myrtaceae	Eucalyptus	Eucalyptus ceratocorys	EcM
Proteaceae	Grevillea	Grevillea banksii	NM
Lauraceae	Endiandra	Endiandra cooperana	AM
Rhizophoraceae	Bruguiera	Bruguiera gymnorhiza	NM-AM
Fabaceae	Acacia	Acacia citrinoviridis	EcM-AM
Sapindaceae	Harpullia	Harpullia rhyticarpa	AM
Myrtaceae	Leptospermum	Leptospermum lanigerum	EcM-AM
Rhamnaceae	Alphitonia	Alphitonia franguloides	AM
Cupressaceae	Athrotaxis	Athrotaxis selaginoides	AM
Fabaceae	Acacia	Acacia cuthbertsonii	EcM-AM
Myrtaceae	Backhousia	Backhousia subargentea	EcM-AM
Fabaceae	Acacia	Acacia falciformis	EcM-AM
Sapindaceae	Mischocarpus	Mischocarpus macrocarpus	AM
Arecaceae	Livistona	Livistona decora	AM
Atherospermataceae	Daphnandra	Daphnandra apatela	AM
Gentianaceae	Utania	Utania racemosa	AM
Myrtaceae	Corymbia	Corymbia clarksoniana	EcM
Proteaceae	Grevillea	Grevillea parallela	NM
Rhamnaceae	Alphitonia	Alphitonia pomaderroides	AM
Sapindaceae	Alectryon	Alectryon ramiflorus	AM
Myrtaceae	Eucalyptus	Eucalyptus sporadica	EcM
Fabaceae	Sesbania	Sesbania grandiflora	AM
Salicaceae	Casearia	Casearia grewiifolia	AM
Moraceae	Ficus	Ficus macrophylla	AM
Himantandraceae	Galbulimima	Galbulimima belgraveana	AM
Myrtaceae	Syzygium	Syzygium australe	AM
Myrtaceae	Eucalyptus	Eucalyptus angulosa	EcM
Rosaceae	Prunus	Prunus mira	AM
Proteaceae	Darlingia	Darlingia darlingiana	NM
Myrtaceae	Eucalyptus	Eucalyptus racemosa	EcM
Eupomatiaceae	Eupomatia	Eupomatia laurina	AM
Myrtaceae	Calytrix	Calytrix achaeta	EcM-AM
Rubiaceae	Neonauclea	Neonauclea glabra	AM
Fabaceae	Dendrolobium	Dendrolobium umbellatum	AM
Fabaceae	Acacia	Acacia viscidula	EcM-AM
Urticaceae	Dendrocnide	Dendrocnide photiniphylla	NM-AM
Gyrostemonaceae	Gyrostemon	Gyrostemon ramulosus	NM
Zamiaceae	Lepidozamia	Lepidozamia peroffskyana	AM
Myrtaceae	Corymbia	Corymbia arnhemensis	EcM
Fabaceae	Acacia	Acacia polifolia	EcM-AM
Rosaceae	Malus	Malus sylvestris	AM
Meliaceae	Didymocheton	Didymocheton mollis	AM
Rubiaceae	Atractocarpus	Atractocarpus stipularis	NM-AM
Tamaricaceae	Tamarix	Tamarix gallica	NM-AM
Myrtaceae	Eucalyptus	Eucalyptus quadrangulata	EcM
Proteaceae	Hakea	Hakea persiehana	NM
Myrtaceae	Corymbia	Corymbia bleeseri	EcM
Fabaceae	Acacia	Acacia kenneallyi	EcM-AM
Fabaceae	Acacia	Acacia craspedocarpa	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus nutans	EcM
Myrtaceae	Eucalyptus	Eucalyptus laeliae	EcM
Meliaceae	Prasoxylon	Prasoxylon klanderi	AM
Primulaceae	Ardisia	Ardisia brevipedata	AM
Pennantiaceae	Pennantia	Pennantia cunninghamii	AM
Cycadaceae	Cycas	Cycas megacarpa	AM
Celastraceae	Gymnosporia	Gymnosporia montana	AM
Malvaceae	Berrya	Berrya rotundifolia	AM
Myrtaceae	Gossia	Gossia acmenoides	AM
Celastraceae	Denhamia	Denhamia silvestris	AM
Ebenaceae	Diospyros	Diospyros pluviatilis	AM
Malvaceae	Commersonia	Commersonia novoguinensis	AM
Fabaceae	Acacia	Acacia roycei	EcM-AM
Lamiaceae	Tectona	Tectona grandis	AM
Proteaceae	Grevillea	Grevillea nematophylla	NM
Capparaceae	Capparis	Capparis canescens	AM
Myrtaceae	Eucalyptus	Eucalyptus pachycalyx	EcM
Myrtaceae	Angophora	Angophora hispida	EcM
Fabaceae	Acacia	Acacia fimbriata	EcM-AM
Cunoniaceae	Anodopetalum	Anodopetalum biglandulosum	AM
Arecaceae	Livistona	Livistona muelleri	AM
Calophyllaceae	Mammea	Mammea odorata	AM
Araliaceae	Heptapleurum	Heptapleurum actinophyllum	AM
Celastraceae	Denhamia	Denhamia celastroides	AM
Fabaceae	Erythrina	Erythrina variegata	AM
Malvaceae	Androcalva	Androcalva fraseri	AM
Myrtaceae	Eucalyptus	Eucalyptus revelata	EcM
Fabaceae	Cassia	Cassia marksiana	AM
Myrtaceae	Syzygium	Syzygium odoardoi	AM
Berberidaceae	Berberis	Berberis moranensis	AM
Sapindaceae	Atalaya	Atalaya angustifolia	AM
Myrtaceae	Eucalyptus	Eucalyptus dissimulata	EcM
Myrtaceae	Eucalyptus	Eucalyptus viridis	EcM
Myrtaceae	Melaleuca	Melaleuca dealbata	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus stellulata	EcM
Myrtaceae	Eucalyptus	Eucalyptus prominens	EcM
Fabaceae	Acacia	Acacia signata	EcM-AM
Fabaceae	Archidendron	Archidendron muellerianum	AM
Escalloniaceae	Polyosma	Polyosma cunninghamii	AM
Myrtaceae	Syzygium	Syzygium endophloium	AM
Ebenaceae	Diospyros	Diospyros pentamera	AM
Fabaceae	Acacia	Acacia alleniana	EcM-AM
Cupressaceae	Callitris	Callitris rhomboidea	AM
Moraceae	Ficus	Ficus lutea	AM
Malvaceae	Hoheria	Hoheria populnea	AM
Podocarpaceae	Podocarpus	Podocarpus neriifolius	AM
Proteaceae	Hakea	Hakea prostrata	NM
Myrtaceae	Melaleuca	Melaleuca spectabilis	EcM-AM
Malvaceae	Franciscodendron	Franciscodendron laurifolium	AM
Arecaceae	Livistona	Livistona nitida	AM
Arecaceae	Hedyscepe	Hedyscepe canterburyana	AM
Hernandiaceae	Gyrocarpus	Gyrocarpus americanus	AM
Rubiaceae	Psydrax	Psydrax attenuatus	AM
Fabaceae	Acacia	Acacia ligustrina	EcM-AM
Cannabaceae	Celtis	Celtis hildebrandii	AM
Sapindaceae	Atalaya	Atalaya hemiglauca	AM
Euphorbiaceae	Mallotus	Mallotus philippensis	AM
Fabaceae	Acacia	Acacia brassii	EcM-AM
Rutaceae	Acronychia	Acronychia pubescens	AM
Meliaceae	Anthocarapa	Anthocarapa nitidula	AM
Fabaceae	Acacia	Acacia mucronata	EcM-AM
Proteaceae	Lambertia	Lambertia ericifolia	NM
Fabaceae	Albizia	Albizia retusa	AM
Myrtaceae	Eucalyptus	Eucalyptus oraria	EcM
Fabaceae	Acacia	Acacia coriacea	EcM-AM
Apocynaceae	Alstonia	Alstonia actinophylla	AM
Fabaceae	Acacia	Acacia xiphophylla	EcM-AM
Urticaceae	Dendrocnide	Dendrocnide excelsa	NM-AM
Phyllanthaceae	Glochidion	Glochidion lobocarpum	AM
Myrtaceae	Eucalyptus	Eucalyptus varia	EcM
Fabaceae	Archidendron	Archidendron hendersonii	AM
Moraceae	Ficus	Ficus adenosperma	AM
Myrtaceae	Eucalyptus	Eucalyptus populnea	EcM
Malvaceae	Brachychiton	Brachychiton velutinosus	AM
Fabaceae	Daviesia	Daviesia divaricata	AM
Fabaceae	Samanea	Samanea saman	AM
Sapotaceae	Pleioluma	Pleioluma brownlessiana	AM
Moraceae	Ficus	Ficus virgata	AM
Myrtaceae	Corymbia	Corymbia ligans	EcM
Myrtaceae	Eucalyptus	Eucalyptus rugosa	EcM
Euphorbiaceae	Aleurites	Aleurites moluccanus	AM
Fabaceae	Acacia	Acacia enervia	EcM-AM
Casuarinaceae	Allocasuarina	Allocasuarina fraseriana	EcM-AM
Fabaceae	Senegalia	Senegalia ferruginea	AM
Sapindaceae	Arytera	Arytera divaricata	AM
Myrtaceae	Eucalyptus	Eucalyptus saligna	EcM
Myrtaceae	Eucalyptus	Eucalyptus crucis	EcM
Myrtaceae	Eucalyptus	Eucalyptus retusa	EcM
Lauraceae	Neolitsea	Neolitsea javanica	AM
Myrtaceae	Welchiodendron	Welchiodendron longivalve	EcM-AM
Myrtaceae	Corymbia	Corymbia leichhardtii	EcM
Cunoniaceae	Ceratopetalum	Ceratopetalum apetalum	AM
Arecaceae	Livistona	Livistona humilis	AM
Myrtaceae	Eucalyptus	Eucalyptus curtisii	EcM
Myrtaceae	Angophora	Angophora inopina	EcM
Asparagaceae	Cordyline	Cordyline rubra	AM
Anacardiaceae	Euroschinus	Euroschinus falcatus	AM
Fabaceae	Acacia	Acacia yorkrakinensis	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus dorrigoensis	EcM
Myrtaceae	Eucalyptus	Eucalyptus polyanthemos	EcM
Sapindaceae	Cnesmocarpon	Cnesmocarpon dasyantha	AM
Fabaceae	Acacia	Acacia grandifolia	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus jensenii	EcM
Phyllanthaceae	Glochidion	Glochidion sessiliflorum	AM
Sapindaceae	Jagera	Jagera pseudorhus	AM
Araliaceae	Heptapleurum	Heptapleurum ellipticum	AM
Phyllanthaceae	Bridelia	Bridelia leichhardtii	AM
Myrtaceae	Xanthostemon	Xanthostemon chrysanthus	EcM-AM
Proteaceae	Hakea	Hakea leucoptera	NM
Arecaceae	Livistona	Livistona australis	AM
Myrtaceae	Melaleuca	Melaleuca viminalis	EcM-AM
Lamiaceae	Vitex	Vitex glabrata	AM
Myrtaceae	Eucalyptus	Eucalyptus oldfieldii	EcM
Ericaceae	Styphelia	Styphelia malayana	ErM
Myrtaceae	Eucalyptus	Eucalyptus griffithsii	EcM
Fabaceae	Acacia	Acacia prainii	EcM-AM
Araucariaceae	Agathis	Agathis robusta	AM
Rutaceae	Bosistoa	Bosistoa transversa	AM
Moraceae	Ficus	Ficus coronata	AM
Fabaceae	Acacia	Acacia crassicarpa	EcM-AM
Rubiaceae	Guettardella	Guettardella putaminosa	AM
Proteaceae	Persoonia	Persoonia longifolia	NM
Proteaceae	Hakea	Hakea grammatophylla	NM
Lauraceae	Cryptocarya	Cryptocarya vulgaris	AM
Fabaceae	Acacia	Acacia georginae	EcM-AM
Lauraceae	Cryptocarya	Cryptocarya erythroxylon	AM
Euphorbiaceae	Croton	Croton habrophyllus	AM
Araucariaceae	Agathis	Agathis macrophylla	AM
Myrtaceae	Rhodamnia	Rhodamnia angustifolia	AM
Primulaceae	Myrsine	Myrsine urceolata	AM
Myrtaceae	Eucalyptus	Eucalyptus kingsmillii	EcM
Urticaceae	Pipturus	Pipturus argenteus	AM
Lauraceae	Cryptocarya	Cryptocarya dorrigoensis	AM
Myrtaceae	Eucalyptus	Eucalyptus myriadena	EcM
Myrtaceae	Eucalyptus	Eucalyptus acaciiformis	EcM
Malvaceae	Sterculia	Sterculia shillinglawii	AM
Rutaceae	Geijera	Geijera paniculata	AM
Sapindaceae	Allophylus	Allophylus cobbe	AM
Myrtaceae	Corymbia	Corymbia cadophora	EcM
Myrtaceae	Eucalyptus	Eucalyptus impensa	EcM
Myrtaceae	Eucalyptus	Eucalyptus mackintyi	EcM
Fabaceae	Acacia	Acacia filifolia	EcM-AM
Euphorbiaceae	Mallotus	Mallotus claoxyloides	AM
Arecaceae	Areca	Areca triandra	NM-AM
Myrtaceae	Eucalyptus	Eucalyptus exserta	EcM
Myrtaceae	Eucalyptus	Eucalyptus longifolia	EcM
Proteaceae	Banksia	Banksia spinulosa	NM
Malvaceae	Brachychiton	Brachychiton rupestris	AM
Combretaceae	Terminalia	Terminalia ferdinandiana	AM
Myrtaceae	Eucalyptus	Eucalyptus scyphocalyx	EcM
Myrtaceae	Xanthostemon	Xanthostemon paradoxus	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus platypus	EcM
Fabaceae	Acacia	Acacia dietrichiana	EcM-AM
Lauraceae	Endiandra	Endiandra montana	AM
Anacardiaceae	Semecarpus	Semecarpus anacardium	AM
