family	genus	species	mycorrhizal_type	AOO	EOO	env_B2	geo_B2	ex_dent	env_B2_corrected	geo_B2_corrected	RC1_position	RC2_position	RC3_position	lat_position	lat_range	biome	climate_zone
Fabaceae	Acacia	Acacia acradenia	EcM-AM	2500	2338448.36767391	0.616276076012768	0.749599412508629	0.408025682182986	0.251456466328163	0.359931026941086	0.493117768278365	-0.490406793349558	-0.194425261453785	-20.9497357910239	10.6346832269772	Tropical	Tropical
Fabaceae	Acacia	Acacia acrionastes	EcM-AM	1000	57300.1337417216	0.378896378186456	0.324802254977923	0.0258426966292135	0.00979170415538032	0.0246062511553464	-0.258446665531003	0.233966177829171	1.66978685825461	-27.3415487974988	4.65137593379071	Non-tropical	Non-tropical
Fabaceae	Acacia	Acacia acuminata	EcM-AM	19000	2592767.02389257	0.258961319618382	0.289236164171653	0.323756019261637	0.083840285982388	0.211881530102852	-1.02917877423635	-0.56658948066729	-0.967165013661044	-30.5137439361569	4.97122328904443	Non-tropical	Non-tropical
Fabaceae	Acacia	Acacia adunca	EcM-AM	3900	165648.535867098	0.344801286957942	0.428938136557385	0.0884831460674157	0.0305091026381325	0.0823121060143278	-1.12673436814305	1.07684038389561	0.389425132326265	-34.9039485602712	7.03734603579133	Non-tropical	Non-tropical
Fabaceae	Acacia	Acacia alleniana	EcM-AM	10000	520787.919267708	0.385743940850504	0.372417866710203	0.277568218298555	0.107070258381338	0.25440349527813	1.26558979629146	0.164805598538363	-0.242177155162687	-15.1774257595795	5.73021063932843	Tropical	Tropical
Fabaceae	Acacia	Acacia ancistrocarpa	EcM-AM	1900	1084992.81754844	0.224400170838467	0.407524175357054	0.351805778491172	0.0789452767953788	0.262604690618204	0.880848495139505	-0.144664096632925	-0.462428192288369	-17.5066970194594	10.8680833319404	Tropical	Tropical
Fabaceae	Acacia	Acacia aneura	EcM-AM	32700	4477194.96915613	0.13642380436243	0.302632953595481	0.504614767255217	0.0688414662864189	0.271039740109527	-0.754342715673432	-0.951594914858474	-0.1542302778486	-29.8670745070739	8.42074926672306	Non-tropical	Non-tropical
Fabaceae	Acacia	Acacia angusta	EcM-AM	2300	69158.1040381786	0.371787690410025	0.318151395899768	0.0429775280898876	0.0159785159080713	0.0304969780304008	-0.105360920213302	-0.323464036994492	1.54219539077598	-25.6302013158699	2.04364311280929	Tropical	Non-tropical
Fabaceae	Acacia	Acacia anthochaera	EcM-AM	1100	36163.5369208531	0.107948379106858	0.103344307425228	0.0376003210272873	0.00405889370879319	0.0346792220375196	-1.09071831809599	-0.941783536436859	-1.47469534289063	-29.7557615902471	1.579288072435	Non-tropical	Non-tropical
Fabaceae	Acacia	Acacia aprepta	EcM-AM	1800	204847.785725353	0.703804048391771	0.781279669584094	0.0804574638844302	0.0566262888051967	0.0797887423988981	-0.623032354011685	-0.428906881275469	0.17911993252012	-27.4680768135141	4.85091888003369	Tropical	Non-tropical
Fabaceae	Acacia	Acacia aptaneura	EcM-AM	1300	1980093.52919513	0.303306759702416	0.317412366406254	0.0760433386837881	0.0230644586531332	0.0600695566687743	-0.88855533010104	-0.938438473119874	-1.04934580456072	-28.6817762150569	7.93269750127187	Non-tropical	Non-tropical
Fabaceae	Acacia	Acacia arafurica	EcM-AM	1500	18128.0591533533	0.233369357154372	0.199722429790086	0.0412921348314607	0.00963631896114961	0.0369529311103724	1.45757137617677	0.576352020249836	0.135789465801233	-13.0904672163947	1.39282748382271	Tropical	Tropical
Fabaceae	Acacia	Acacia argyraea	EcM-AM	1300	197266.988007683	0.611979150166224	0.622617237712827	0.10008025682183	0.0612470305182409	0.0992786108967858	1.05221482001601	-0.189810164779257	-0.747109345695784	-16.6987988422219	3.19725346650908	Tropical	Tropical
Fabaceae	Acacia	Acacia argyrodendron	EcM-AM	2900	37140.7045276528	0.112515444958524	0.110487844328094	0.043338683788122	0.0048762712903373	0.0364208996575313	0.0717838892250587	-0.399665619865655	-0.221797366694896	-21.3406197706684	1.63245315499434	Tropical	Tropical
Fabaceae	Acacia	Acacia armillata	EcM-AM	2200	110137.270242014	0.402326079106941	0.35739612934859	0.120987158908507	0.0486762892659481	0.107185441572611	1.2285268119862	0.651843574737551	-0.213729455034118	-14.0873256727511	5.23937418739372	Tropical	Tropical
Fabaceae	Acacia	Acacia armitii	EcM-AM	1400	506950.910127244	0.754537857375484	0.760739560557244	0.238001605136437	0.179581221191573	0.233769950929926	1.07320767196906	0.170420724130692	-0.550656551846637	-15.7822580947814	8.3791413063834	Tropical	Tropical
Fabaceae	Acacia	Acacia assimilis	EcM-AM	6200	302241.690151181	0.104510103402184	0.182998912319201	0.212158908507223	0.0221727494657843	0.140010917671959	-1.11511241291494	-0.447744551394281	-1.13812858226648	-31.0526739440832	4.7835982268013	Non-tropical	Non-tropical
Fabaceae	Acacia	Acacia attenuata	EcM-AM	2800	17988.3334988747	0.442806925997673	0.40099407648904	0.0128410914927769	0.0056861242503714	0.0108311937664482	-0.326435199784798	1.46492529310379	0.180120996822301	-28.1335562963196	2.65615473878681	Non-tropical	Non-tropical
Fabaceae	Acacia	Acacia aulacocarpa	EcM-AM	31300	3382514.68420693	0.565945557543991	0.609901630657962	0.510714285714286	0.289036481174253	0.379729924800705	0.680925016454236	0.50661922825761	0.385075404665681	-19.3182199495946	16.9955153953431	Tropical	Tropical
